Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,135,27,30,20,5,134.9981,0.999986,185.24323194178285,0.001866,134.9981,135,27,30,20,5,134.9967,0.999976,146.1928302691844,0.001866,72360,0.0033,20,5,0.0016,0.484848,325.99999999999994,0.0,0.0016,269.9964,0.999987,146.194961,165.719082,134.9997,72494.9997
0.06,162,27,30,20,5,161.9857,0.999912,194.7084369175797,0.002239,161.9857,162,27,30,20,5,161.98,0.999877,155.74407025558708,0.002239,72360,0.02,20,5,0.0097,0.485,327.0567010309278,0.0,0.0097,323.9754,0.999924,155.754329,175.231142,161.99540000000002,72521.9954
0.07,190,27,30,20,5,189.9027,0.999488,204.35708628681957,0.002624,189.9027,190,27,30,20,5,189.8212,0.999059,165.3822671018833,0.002623,72360,0.1788,20,5,0.095,0.53132,328.2368421052632,1e-06,0.095,379.81890000000004,0.999523,165.46373,184.909717,189.9977,72549.9977
0.08,216,27,30,20,5,214.5297,0.993193,212.86074119341055,0.002965,214.5297,216,27,30,20,5,214.2606,0.991947,173.8347330307111,0.002961,72360,0.7394,20,5,0.4502,0.608872,330.79342514438025,6e-06,0.4502,429.2405,0.993612,174.16384,193.504127,214.9799,72574.9799
0.09,243,27,30,20,5,239.7512,0.98663,221.66622398553162,0.003313,239.7512,243,27,30,20,5,239.3387,0.984933,182.41126549947842,0.003308,72360,2.6613,20,5,1.9771,0.742908,334.08697081584125,2.7e-05,1.9771,481.067,0.98985,183.653944,202.598269,241.72830000000002,72601.7283
0.1,270,27,30,20,5,261.6256,0.968984,229.09567947479138,0.003616,261.6256,270,27,30,20,5,261.8874,0.969953,189.97883556062638,0.003619,72360,7.1126,20,5,6.1672,0.867081,338.44989622519137,8.5e-05,6.1672,529.6802,0.980889,193.394747,211.028553,267.7928,72627.7928
0.2,540,27,30,20,5,231.9303,0.429501,245.58847226947057,0.003205,231.9303,540,27,30,20,5,275.236,0.509696,219.10284446802015,0.003804,72360,263.764,20,5,262.5437,0.995374,414.249210512383,0.003628,262.5437,769.71,0.712694,314.373174,293.646853,494.474,72854.474
0.3,810,27,30,20,5,139.3933,0.17209,238.80069594449665,0.001926,139.3933,810,27,30,20,5,189.6223,0.234102,223.8331058636036,0.002621,72360,618.3777,20,5,348.3932,0.563399,472.3335363606409,0.004815,348.3932,677.4087999999999,0.418154,384.750143,354.717502,487.7865,72847.7865
0.4,1080,27,30,20,5,86.6209,0.080205,228.7202297597926,0.001197,86.6209,1080,27,30,20,5,131.7256,0.121968,226.3899021906145,0.00182,72360,945.2744,20,5,165.4528,0.175032,494.3725328311155,0.002287,165.4528,383.7993,0.177685,375.588083,342.441004,252.0737,72612.0737
0.5,1350,27,30,20,5,57.8174,0.042828,219.65931363222833,0.000799,57.8174,1350,27,30,20,5,97.0621,0.071898,229.64859558983366,0.001341,72360,1249.9379,20,5,91.6278,0.073306,524.8999463045059,0.001266,91.6278,246.5073,0.091299,373.022627,337.051814,149.4452,72509.4452
0.6,1620,27,30,20,5,41.2218,0.025446,212.25799940808005,0.00057,41.2218,1620,27,30,20,5,76.0314,0.046933,234.14916468722132,0.001051,72360,1539.9686,20,5,63.9613,0.041534,553.1180502897846,0.000884,63.9613,181.21450000000002,0.05593,379.882939,341.752427,105.1831,72465.1831
0.7,1890,27,30,20,5,30.7065,0.016247,206.39401266832755,0.000424,30.7065,1890,27,30,20,5,62.6452,0.033146,239.39622508987114,0.000866,72360,1822.3548,20,5,52.6652,0.0289,571.6207799457707,0.000728,52.6652,146.0169,0.038629,391.131651,352.282406,83.3717,72443.3717
0.8,2160,27,30,20,5,23.6888,0.010967,201.56714565533073,0.000327,23.6888,2160,27,30,20,5,53.6802,0.024852,245.7234678708351,0.000742,72360,2101.3198,20,5,47.2965,0.022508,581.5783356062288,0.000654,47.2965,124.66550000000001,0.028858,403.034607,364.751984,70.9853,72430.9853
0.9,2430,27,30,20,5,18.7163,0.007702,197.9633287562178,0.000259,18.7163,2430,27,30,20,5,47.3712,0.019494,251.97311657716077,0.000655,72360,2376.6288,20,5,44.7009,0.018809,586.5083398768257,0.000618,44.7009,110.7884,0.022796,414.389588,377.827106,63.417199999999994,72423.4172
1.0,2700,27,30,20,5,14.9258,0.005528,194.80575915528817,0.000206,14.9258,2700,27,30,20,5,42.6639,0.015801,258.2657363719678,0.00059,72360,2650.3361,20,5,42.9761,0.016215,589.1324678135056,0.000594,42.9761,100.5658,0.018623,424.302188,390.24073,57.901900000000005,72417.9019
