Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,j_start,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,180.0,27,5,20,5,171.808932,0.954494,128.418494,0.002374,171.808932,90.0,27,5,20,5,89.993686,0.99993,67.251597,0.001244,72360,10,0.006314,20,5,0.006314,1.0,164.705652,0.0,0.006314,261.808932,0.969663,67.258434,107.39398,171.815246,72531.815246
0.06,216.0,27,5,20,5,184.58337,0.854553,135.429644,0.002551,184.58337,108.0,27,5,20,5,107.950289,0.99954,71.678417,0.001492,72360,10,0.049711,20,5,0.049711,1.0,173.665282,1e-06,0.049711,292.58337,0.903035,71.72536,111.914765,184.633081,72544.633081
0.07,252.66666666666666,27,5,20,5,178.753161,0.707466,140.837041,0.00247,178.753161,126.33333333333333,27,5,20,5,125.73557,0.995268,76.134798,0.001738,72360,10,0.26443,20,5,0.264429,0.999996,182.270077,4e-06,0.264429,304.75316,0.804098,76.357538,114.178032,179.01759,72539.01759
0.08,288.0,27,5,20,5,161.93167,0.562263,144.698443,0.002238,161.93167,144.0,27,5,20,5,142.953698,0.992734,80.658774,0.001976,72360,10,1.046302,20,5,1.046298,0.999996,188.701924,1.4e-05,1.046298,305.931666,0.708175,81.443811,114.924909,162.977968,72522.977968
0.09,324.0,27,5,20,5,140.828958,0.434657,148.011376,0.001946,140.828958,162.0,27,5,20,5,158.752087,0.979951,85.15138,0.002194,72360,10,3.247913,20,5,3.247893,0.999994,193.615401,4.5e-05,3.247893,302.828938,0.623105,87.325945,115.547376,144.076851,72504.076851
0.1,360.0,27,5,20,5,119.674501,0.332429,150.858008,0.001654,119.674501,180.0,27,5,20,5,171.810064,0.9545,89.418516,0.002374,72360,10,8.189936,20,5,8.189826,0.999987,197.529223,0.000113,8.189826,299.674391,0.554953,94.337452,116.908848,127.864327,72487.864327
0.2,720.0,27,5,20,5,10.41034,0.014459,149.419173,0.000144,10.41034,360.0,27,5,20,5,123.824599,0.343957,112.812718,0.001711,72360,10,235.175401,20,5,166.888174,0.709633,250.329899,0.002306,166.888174,301.123113,0.278818,191.756588,190.292911,177.298514,72537.298514
0.3,1080.0,27,5,20,5,1.025117,0.000949,138.52006,1.4e-05,1.025117,540.0,27,5,20,5,68.129966,0.126167,130.495546,0.000942,72360,10,470.870034,20,5,89.559519,0.1902,281.20994,0.001238,89.559519,158.714602,0.097972,216.093572,215.592535,90.584636,72450.584636
0.4,1440.0,27,5,20,5,0.141191,9.8e-05,133.338891,2e-06,0.141191,720.0,27,5,20,5,48.699687,0.067638,144.208368,0.000673,72360,10,669.300313,20,5,64.307613,0.096082,297.450883,0.000889,64.307613,113.148491,0.052384,231.412118,231.289739,64.448804,72424.448804
0.5,1800.0,27,5,20,5,0.021888,1.2e-05,131.927561,0.0,0.021888,900.0,27,5,20,5,40.865356,0.045406,152.004488,0.000565,72360,10,857.134644,20,5,55.471412,0.064717,305.083066,0.000767,55.471412,96.358656,0.035688,240.148247,240.123665,55.4933,72415.4933
0.6,2160.0,27,5,20,5,0.003538,2e-06,132.992081,0.0,0.003538,1080.0,27,5,20,5,36.999023,0.034258,156.057155,0.000511,72360,10,1040.000977,20,5,51.263836,0.049292,309.027618,0.000708,51.263836,88.266397,0.027243,244.90373,244.899244,51.267374,72411.267374
0.7,2520.0,27,5,20,5,0.000573,0.0,135.301849,0.0,0.000573,1260.0,27,5,20,5,34.644304,0.027495,158.351496,0.000479,72360,10,1222.355696,20,5,48.676385,0.039822,311.55274,0.000673,48.676385,83.321262,0.022043,247.852469,247.851695,48.676958,72408.676958
0.8,2880.0,27,5,20,5,9.3e-05,0.0,139.250142,0.0,9.3e-05,1440.0,27,5,20,5,33.009907,0.022924,159.803116,0.000456,72360,10,1402.990093,20,5,46.848771,0.033392,313.41119,0.000647,46.848771,79.858771,0.018486,249.916673,249.916544,46.848864,72406.848864
0.9,3240.0,27,5,20,5,1.5e-05,0.0,144.040611,0.0,1.5e-05,1620.0,27,5,20,5,31.755288,0.019602,160.845031,0.000439,72360,10,1584.244712,20,5,45.429637,0.028676,314.91345,0.000628,45.429637,77.18494,0.015882,251.526888,251.526867,45.429652,72405.429652
1.0,3600.0,27,5,20,5,2e-06,0.0,181.143855,0.0,2e-06,1800.0,27,5,20,5,30.743804,0.01708,161.655741,0.000425,72360,10,1765.256196,20,5,44.280068,0.025084,316.174555,0.000612,44.280068,75.023874,0.013893,252.854761,252.854759,44.28007,72404.28007
