Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,j_start,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,135.0,18,5,20,5,121.456858,0.89968,133.150635,0.002518,121.456858,135.0,36,5,20,5,134.967752,0.999761,70.021265,0.001399,96480,10,0.032248,20,5,0.032248,1.0,170.429459,1e-06,0.032248,256.456858,0.94984,70.04525,99.931687,121.489106,96601.489106
0.06,162.0,18,5,20,5,121.056094,0.74726,139.667993,0.002509,121.056094,162.0,36,5,20,5,161.760652,0.998523,75.013464,0.001677,96480,10,0.239348,20,5,0.239348,1.0,180.351369,5e-06,0.239348,283.056094,0.87363,75.169096,102.75368,121.295442,96601.295442
0.07,189.5,18,5,20,5,108.932117,0.57484,144.271444,0.002258,108.932117,189.5,36,5,20,5,187.808597,0.991074,80.091741,0.001947,96480,10,1.191403,20,5,1.191399,0.999997,188.247142,2.5e-05,1.191399,297.932113,0.786101,80.77352,103.990095,110.123516,96590.123516
0.08,216.0,18,5,20,5,93.013709,0.430619,147.647831,0.001928,93.013709,216.0,36,5,20,5,210.851046,0.976162,84.967196,0.002185,96480,10,4.148954,20,5,4.148917,0.999991,193.982315,8.6e-05,4.148917,308.013672,0.712995,87.070893,105.363866,97.162626,96577.162626
0.09,243.0,18,5,20,5,75.525934,0.310806,150.104842,0.001566,75.525934,243.0,36,5,20,5,230.304598,0.947756,89.757431,0.002387,96480,10,11.695402,20,5,11.695005,0.999966,199.194001,0.000242,11.695005,317.525537,0.653345,95.046123,108.14227,87.220939,96567.220939
0.1,270.0,18,5,20,5,58.248017,0.215733,150.991678,0.001207,58.248017,270.0,36,5,20,5,242.63673,0.898655,94.00694,0.002515,96480,10,26.36327,20,5,26.357976,0.999799,205.055325,0.000546,26.357976,327.242723,0.606005,104.888235,113.094481,84.605993,96564.605993
0.2,540.0,18,5,20,5,2.013621,0.003729,108.60363,4.2e-05,2.013621,540.0,36,5,20,5,138.764085,0.256971,117.239564,0.001438,96480,10,400.235915,20,5,46.478626,0.116128,291.279505,0.000963,46.478626,187.256332,0.173385,160.907341,160.344904,48.492247,96528.492247
0.3,810.0,18,5,20,5,0.18032,0.000223,90.853332,4e-06,0.18032,810.0,36,5,20,5,78.031478,0.096335,136.36411,0.000809,96480,10,729.968522,20,5,33.068264,0.045301,308.738029,0.000685,33.068264,111.280062,0.068691,187.670316,187.513432,33.248584,96513.248584
0.4,1080.0,18,5,20,5,0.021706,2e-05,85.409013,0.0,0.021706,1080.0,36,5,20,5,58.690261,0.054343,148.727065,0.000608,96480,10,1018.309739,20,5,30.052111,0.029512,313.444227,0.000623,30.052111,88.764078,0.041094,204.507616,204.478492,30.073817,96510.073817
0.5,1350.0,18,5,20,5,0.002741,2e-06,83.986541,0.0,0.002741,1350.0,36,5,20,5,50.918373,0.037717,154.829704,0.000528,96480,10,1296.081627,20,5,28.385944,0.021901,316.315865,0.000588,28.385944,79.307058,0.029373,212.631565,212.627119,28.388685,96508.388685
0.6,1620.0,18,5,20,5,0.000345,0.0,83.727572,0.0,0.000345,1620.0,36,5,20,5,46.862261,0.028927,157.881002,0.000486,96480,10,1569.137739,20,5,27.251581,0.017367,318.407193,0.000565,27.251581,74.114187,0.022875,216.906312,216.905692,27.251926,96507.251926
0.7,1890.0,18,5,20,5,4.3e-05,0.0,82.894649,0.0,4.3e-05,1890.0,36,5,20,5,44.25052,0.023413,159.650702,0.000459,96480,10,1840.74948,20,5,26.401025,0.014343,320.051667,0.000547,26.401025,70.651588,0.018691,219.589234,219.589151,26.401068,96506.401068
0.8,2160.0,18,5,20,5,5e-06,0.0,85.776298,0.0,5e-06,2160.0,36,5,20,5,42.338317,0.019601,160.846289,0.000439,96480,10,2112.661683,20,5,25.72567,0.012177,321.405566,0.000533,25.72567,68.063992,0.015756,221.531758,221.531748,25.725675,96505.725675
0.9,2430.0,18,5,20,5,1e-06,0.0,51.247434,0.0,1e-06,2430.0,36,5,20,5,40.843598,0.016808,161.743929,0.000423,96480,10,2383.156402,20,5,25.173603,0.010563,322.544759,0.000522,25.173603,66.017202,0.013584,223.060316,223.060313,25.173604,96505.173604
1.0,2700.0,18,5,20,5,0.0,0.0,0.0,0.0,0.0,2700.0,36,5,20,5,39.617181,0.014673,162.472285,0.000411,96480,10,2653.382819,20,5,24.708274,0.009312,323.528067,0.000512,24.708274,64.325455,0.011912,224.335981,224.335981,24.708274,96504.708274
