Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,j_start,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,135.0,27,30,20,5,134.999697,0.999998,185.216823,0.001866,134.999697,135.0,27,30,20,5,134.999698,0.999998,146.216822,0.001866,72360,35,0.000302,20,5,0.00029,0.960265,304.405822,0.0,0.00029,269.999685,0.999999,146.217161,165.716971,134.999987,72494.999987
0.06,162.0,27,30,20,5,161.991168,0.999945,194.712225,0.002239,161.991168,162.0,27,30,20,5,161.991198,0.999946,155.712233,0.002239,72360,35,0.008802,20,5,0.008677,0.985799,305.579987,0.0,0.008677,323.991043,0.999972,155.72026,175.215719,161.999845,72521.999845
0.07,189.5,27,30,20,5,188.895812,0.996812,204.061623,0.002611,188.895812,189.5,27,30,20,5,188.897038,0.996818,165.062106,0.002611,72360,35,0.102962,20,5,0.10225,0.993085,306.402169,1e-06,0.10225,377.8951,0.997085,165.138572,184.594769,188.998062,72548.998062
0.08,216.0,27,30,20,5,214.381224,0.992506,212.862631,0.002963,214.381224,216.0,27,30,20,5,214.398739,0.992587,173.868993,0.002963,72360,35,0.601261,20,5,0.598623,0.995613,307.660601,8e-06,0.598623,429.378586,0.993932,174.241513,193.524362,214.979847,72574.979847
0.09,243.0,27,30,20,5,239.462935,0.985444,221.437216,0.003309,239.462935,243.0,27,30,20,5,239.601911,0.986016,182.480771,0.003311,72360,35,2.398089,20,5,2.390246,0.996729,309.904855,3.3e-05,2.390246,481.455092,0.990648,183.739386,202.489282,241.853181,72601.853181
0.1,270.0,27,30,20,5,261.489168,0.968478,228.971702,0.003614,261.489168,270.0,27,30,20,5,262.14619,0.970912,190.148947,0.003623,72360,35,6.85381,20,5,6.834802,0.997227,313.433766,9.4e-05,6.834802,530.47016,0.982352,193.281612,210.874632,268.32397,72628.32397
0.2,540.0,27,30,20,5,210.056852,0.388994,240.409072,0.002903,210.056852,540.0,27,30,20,5,275.806758,0.510753,219.107871,0.003812,72360,35,263.193242,20,5,261.862428,0.994944,402.948571,0.003619,261.862428,747.726038,0.692339,308.644287,289.475135,471.91928,72831.91928
0.3,810.0,27,30,20,5,115.204797,0.142228,224.930454,0.001592,115.204797,810.0,27,30,20,5,190.164794,0.234771,223.869304,0.002628,72360,35,617.835206,20,5,310.198675,0.502073,464.149753,0.004287,310.198675,615.568266,0.37998,372.830372,345.150615,425.403472,72785.403472
0.4,1080.0,27,30,20,5,75.033118,0.069475,217.296778,0.001037,75.033118,1080.0,27,30,20,5,131.943938,0.12217,226.388727,0.001823,72360,35,945.056062,20,5,150.663706,0.159423,487.261706,0.002082,150.663706,357.640762,0.165574,365.465255,334.379473,225.696824,72585.696824
0.5,1350.0,27,30,20,5,53.074068,0.039314,212.307605,0.000733,53.074068,1350.0,27,30,20,5,97.072117,0.071905,229.615564,0.001342,72360,35,1249.927883,20,5,87.047853,0.069642,514.986759,0.001203,87.047853,237.194038,0.08785,364.532759,330.47116,140.121921,72500.121921
0.6,1620.0,27,30,20,5,39.314804,0.024268,207.963838,0.000543,39.314804,1620.0,27,30,20,5,76.070344,0.046957,234.07145,0.001051,72360,35,1539.929656,20,5,62.547894,0.040617,538.936169,0.000864,62.547894,177.933042,0.054918,371.633768,335.470438,101.862698,72461.862698
0.7,1890.0,27,30,20,5,30.019395,0.015883,203.963115,0.000415,30.019395,1890.0,27,30,20,5,62.73092,0.033191,239.531804,0.000867,72360,35,1822.26908,20,5,52.162443,0.028625,554.257611,0.000721,52.162443,144.912758,0.038337,382.419666,345.451508,82.181838,72442.181838
0.8,2160.0,27,30,20,5,23.422868,0.010844,200.35321,0.000324,23.422868,2160.0,27,30,20,5,53.743742,0.024881,245.616007,0.000743,72360,35,2101.256258,20,5,47.250623,0.022487,562.575729,0.000653,47.250623,124.417233,0.0288,393.906898,357.468356,70.673491,72430.673491
0.9,2430.0,27,30,20,5,18.604829,0.007656,197.219493,0.000257,18.604829,2430.0,27,30,20,5,47.40681,0.019509,251.930512,0.000655,72360,35,2376.59319,20,5,44.618914,0.018774,566.893359,0.000617,44.618914,110.630553,0.022763,404.641076,369.758822,63.223743,72423.223743
1.0,2700.0,27,30,20,5,14.963355,0.005542,194.551085,0.000207,14.963355,2700.0,27,30,20,5,42.709107,0.015818,258.250438,0.00059,72360,35,2650.290893,20,5,42.979379,0.016217,569.291849,0.000594,42.979379,100.651841,0.018639,414.261675,381.598511,57.942734,72417.942734
