Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,135,27,20,20,10,135,1,128.4616222,135,27,20,20,5,134.9858,0.999895,102.3850516,0.0142,20,5,0.0142,1,220.2183099,270,1,102.397446,115.429534,257,72360,72617,121.9858,72225.0142,72347,0.003718
0.06,162,27,20,20,10,162,1,136.6555309,162,27,20,20,5,161.8866,0.9993,110.6398596,0.1134,20,5,0.1134,1,222.5194004,324,1,110.718175,123.686853,336,72360,72696,173.8866,72198.1134,72372,0.004457
0.07,190,27,20,20,10,190,1,145.3599053,190,27,20,20,5,189.2042,0.995812,118.9641081,0.7958,20,5,0.7958,1,226.2401357,380,1,119.413425,132.386665,374,72360,72734,183.2042,72170.7958,72354,0.005225
0.08,216,27,20,20,10,215,0.99537,153.3394326,216,27,20,20,5,212.2196,0.982498,125.9353057,2.7804,20,5,2.7804,1,229.5281974,430,0.99537,127.274979,140.307206,462,72360,72822,244.2196,72147.7804,72392,0.005905
0.09,243,27,20,20,10,242,0.995885,162.6300496,243,27,20,20,5,233.3506,0.960291,132.7780031,8.6494,20,5,8.6494,1,234.534962,484,0.995885,136.414931,149.52249,562,72360,72922,311.3506,72126.6494,72438,0.006637
0.1,270,27,20,20,10,269,0.996296,172.5789777,270,27,20,20,5,248.6104,0.920779,138.4564797,20.3896,20,5,20.3896,1,241.4935457,538,0.996296,146.266459,159.422719,665,72360,73025,375.6104,72111.3896,72487,0.007367
0.2,540,27,20,20,10,153.9048,0.285009,227.2869943,540,27,20,20,5,163.0098,0.30187,159.1315068,375.9902,20,5,53.6762,0.14276,360.2994456,370.5908,0.34314,208.963663,216.573265,1777,72360,74137,1569.419,72196.9902,73766.4092,0.004999
0.3,810,27,20,20,10,57.9714,0.07157,242.0779505,810,27,20,20,5,81.2634,0.100325,170.8614862,726.7366,20,5,27.0974,0.037286,413.7675829,166.3322,0.102674,231.60415,235.254561,1813,72360,74173,1727.9312,72278.7366,74006.6678,0.002242
0.4,1080,27,20,20,10,32.1884,0.029804,285.248543,1080,27,20,20,5,50.0858,0.046376,185.1569327,1026.9142,20,5,24.389,0.02375,423.9068227,106.6632,0.049381,263.342723,269.953375,1832,72360,74192,1775.4226,72309.9142,74085.3368,0.001438
0.5,1350,27,20,20,10,22.1442,0.016403,328.9885884,1350,27,20,20,5,37.1072,0.027487,198.7101802,1309.8928,20,5,23.2548,0.017753,427.1446067,82.5062,0.030558,286.715828,298.061599,1835,72360,74195,1789.601,72322.8928,74112.4938,0.001112
0.6,1620,27,20,20,10,17.3952,0.010738,363.7920001,1620,27,20,20,5,31.1274,0.019214,208.2778934,1584.8726,20,5,22.683,0.014312,428.9607856,71.2056,0.021977,301.303592,316.569222,1854,72360,74214,1813.9218,72328.8726,74142.7944,0.000959
0.7,1890,27,20,20,10,14.9004,0.007884,387.5704813,1890,27,20,20,5,27.7706,0.014693,215.1439904,1857.2294,20,5,22.2408,0.011975,430.2386335,64.9118,0.017172,310.79972,328.422325,1857,72360,74217,1819.8588,72332.2294,74152.0882,0.000875
0.8,2160,27,20,20,10,13.4272,0.006216,404.9280267,2160,27,20,20,5,25.8682,0.011976,219.3345072,2129.1318,20,5,21.9034,0.010287,431.3213337,61.1988,0.014166,316.531006,335.925577,1868,72360,74228,1832.6694,72334.1318,74166.8012,0.000824
0.9,2430,27,20,20,10,12.2964,0.00506,415.7303113,2430,27,20,20,5,24.3424,0.010017,222.3956471,2399.6576,20,5,21.736,0.009058,432.2111244,58.3748,0.012011,321.369336,341.246069,1858,72360,74218,1823.9676,72335.6576,74159.6252,0.000787
1,2700,27,20,20,10,11.6602,0.004319,422.6032229,2700,27,20,20,5,23.3666,0.008654,224.3932665,2669.6334,20,5,21.3814,0.008009,433.022426,56.4082,0.010446,324.080035,344.44587,1881,72360,74241,1847.9584,72336.6334,74184.5918,0.00076
