Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,135,27,20,20,5,134.986,0.999896,128.4369268,135,27,20,20,5,134.9876,0.999908,102.3354753,0.0124,40,5,0.0124,1,221.5483871,269.986,0.999948,102.346425,115.391,272,72360,72632,137.0016,72225.0124,72362.014,0.003717
0.06,162,27,20,20,5,161.8666,0.999177,136.590923,162,27,20,20,5,161.8782,0.999248,110.6353104,0.1218,40,5,0.1218,1,222.4622332,323.8666,0.999588,110.719388,123.649827,332,72360,72692,170.0116,72198.1218,72368.1334,0.004455
0.07,190,27,20,20,5,189.2062,0.995822,144.8804326,190,27,20,20,5,189.2322,0.995959,119.0306718,0.7678,40,5,0.7678,1,226.6969263,379.2062,0.997911,119.465757,132.146494,394,72360,72754,204.026,72170.7678,72374.7938,0.005212
0.08,216,27,20,20,5,211.8628,0.980846,151.9549841,216,27,20,20,5,212.153,0.98219,125.9518579,2.847,40,5,2.847,1,231.0939586,426.8628,0.988108,127.344135,139.559122,481,72360,72841,266.2902,72147.847,72414.1372,0.00586
0.09,243,27,20,20,5,231.998,0.954724,158.5047457,243,27,20,20,5,233.3258,0.960188,132.7984351,8.6742,40,5,8.6742,1,236.5116207,473.998,0.975305,136.51591,147.278331,562,72360,72922,321.3278,72126.6742,72448.002,0.0065
0.1,270,27,20,20,5,244.0564,0.903913,163.5051578,270,27,20,20,5,248.5872,0.920693,138.4500666,20.4128,40,5,20.4128,1,242.8567076,513.0564,0.950104,146.372862,154.522544,668,72360,73028,403.5308,72111.4128,72514.9436,0.007025
0.2,540,27,20,20,5,110.7182,0.205034,163.6656945,540,27,20,20,5,163.0722,0.301986,159.0660388,375.9278,40,5,363.4188,0.966725,340.2686773,637.2092,0.590009,284.144047,263.210347,1742,72360,74102,1267.863,72196.9278,73464.7908,0.008599
0.3,810,27,20,20,5,39.5702,0.048852,152.9487619,810,27,20,20,5,81.1604,0.100198,170.7967901,726.8396,40,5,280.5814,0.386029,394.491209,401.312,0.247723,344.303123,325.435184,2123,72360,74483,1802.8484,72278.8396,74081.688,0.005388
0.4,1080,27,20,20,5,16.3964,0.015182,143.0208582,1080,27,20,20,5,49.997,0.046294,185.2069024,1027.003,40,5,163.3948,0.159099,427.570225,229.7882,0.106383,370.785292,354.533297,2199,72360,74559,2019.2088,72310.003,74329.2118,0.003082
0.5,1350,27,20,20,5,7.5902,0.005622,134.3178177,1350,27,20,20,5,37.0688,0.027458,198.4917936,1309.9312,40,5,115.485,0.088161,455.5069619,160.144,0.059313,393.055264,380.79212,2206,72360,74566,2082.9248,72322.9312,74405.856,0.002148
0.6,1620,27,20,20,5,3.7986,0.002345,127.2906597,1620,27,20,20,5,31.174,0.019243,208.6209341,1584.826,40,5,94.2888,0.059495,473.9644836,129.2614,0.039895,408.034026,399.783831,2226,72360,74586,2127.9126,72328.826,74456.7386,0.001733
0.7,1890,27,20,20,5,2.0756,0.001098,122.3062247,1890,27,20,20,5,27.7376,0.014676,215.0656582,1857.2624,40,5,83.9052,0.045177,484.4205079,113.7184,0.030084,417.499425,412.111528,2227,72360,74587,2141.0192,72332.2624,74473.2816,0.001525
0.8,2160,27,20,20,5,1.138,0.000527,118.2460457,2160,27,20,20,5,25.7618,0.011927,219.4846672,2129.2382,40,5,77.7284,0.036505,490.4253426,104.6282,0.024219,422.980121,419.665648,2260,72360,74620,2181.1336,72334.2382,74515.3718,0.001402
0.9,2430,27,20,20,5,0.6332,0.000261,115.7668983,2430,27,20,20,5,24.3298,0.010012,222.3974755,2399.6702,40,5,73.699,0.030712,493.9200193,98.662,0.020301,426.53075,424.536308,2255,72360,74615,2180.6678,72335.6702,74516.338,0.001322
1,2700,27,20,20,5,0.3522,0.00013,114.6425327,2700,27,20,20,5,23.3746,0.008657,224.3541152,2669.6254,40,5,71.0324,0.026608,496.4178488,94.7592,0.017548,429.05652,427.88791,2260,72360,74620,2188.6154,72336.6254,74525.2408,0.00127
