Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,retrans_wbo
0.05,180,90,1,290.812432,72553.87628,72283.8763,0.003721,"[5, 4, 3, 5, 5, 5]"
0.06,216,108,0.996914,291.133459,72595.24366,72272.24366,0.004449,"[6, 5, 3, 5, 5, 5]"
0.07,252.6666667,126.3333333,0.997361,291.543116,72640.49733,72262.49755,0.005204,"[5, 4, 3, 5, 5, 5]"
0.08,288,144,0.997685,291.902961,72684.8578,72253.85786,0.00593,"[6, 6, 3, 5, 5, 5]"
0.09,324,162,0.997942,292.313932,72732.19012,72247.1903,0.006668,"[6, 5, 3, 5, 5, 5]"
0.1,360,180,0.998148,292.745107,72781.40007,72242.40013,0.007406,"[7, 5, 3, 5, 5, 5]"
0.2,720,360,0.997222,298.894076,73432.21549,72355.21549,0.014667,"[20, 8, 3, 5, 5, 5]"
0.3,1080,540,0.997531,324.282707,74886.23469,73270.23469,0.021579,"[20, 20, 3, 20, 5, 5]"
0.4,1440,720,0.985417,383.209077,75509.46054,73380.96082,0.028189,"[5, 20, 3, 160, 5, 5]"
0.5,1800,900,0.929886,426.986271,76589.41396,74078.72256,0.032781,"[5, 20, 3, 160, 5, 5]"
0.6,2160,1080,0.836634,433.969364,76677.75609,73967.06192,0.035352,"[3, 20, 3, 240, 10, 5]"
0.7,2520,1260,0.749984,479.906359,77034.62483,74199.68353,0.036801,"[3, 20, 3, 240, 20, 120]"
0.8,2880,1440,0.66723,488.392216,77275.88966,74393.45649,0.037301,"[3, 5, 3, 240, 160, 240]"
0.9,3240,1620,0.596224,514.382414,77468.5767,74570.92725,0.037404,"[3, 5, 3, 240, 160, 240]"
1,3600,1800,0.533146,547.129766,77687.12419,74808.13379,0.037059,"[3, 5, 3, 240, 160, 240]"
