Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T
0.05,0.999998,116.001676,72565.03572678613,72295.036172436,"[6, 4, 3, 10, 30, 5]",0.003721
0.06,0.996771,125.642869,72626.6754854749,72303.72164398785,"[6, 4, 3, 10, 30, 5]",0.004447
0.07,0.995929,127.708797,72635.77274214917,72258.31569457563,"[4, 4, 3, 20, 30, 5]",0.005197
0.08,0.993237,135.684389,72695.34119310795,72266.26287084125,"[4, 4, 3, 20, 30, 5]",0.005902
0.09,0.987264,143.91932,72772.01988896907,72292.20979177955,"[4, 4, 3, 20, 30, 5]",0.006593
0.1,0.978217,150.756531,72830.99311325795,72302.75579932422,"[3, 4, 3, 40, 30, 5]",0.007253
0.2,0.411368,177.178283,73644.08511000604,73199.80762530494,"[3, 4, 3, 40, 30, 5]",0.006033
0.3,0.158918,181.082186,73684.29813206328,73426.85117518577,"[3, 4, 3, 40, 30, 5]",0.003494
0.4,0.07815,193.96198,73699.64526464074,73530.8419238207,"[3, 4, 3, 40, 30, 5]",0.00229
0.5,0.051336,215.536348,73399.01320955767,73260.40689901105,"[3, 3, 3, 5, 40, 10]",0.001888
0.6,0.038326,218.605363,73416.46489052099,73292.28925931506,"[3, 3, 3, 5, 40, 10]",0.001691
0.7,0.030209,220.501045,73426.74662869264,73312.55559256896,"[3, 3, 3, 5, 40, 10]",0.001555
0.8,0.024675,221.813246,73434.43240223292,73327.83729696053,"[3, 3, 3, 5, 40, 10]",0.001452
0.9,0.020673,222.822621,73442.30979677288,73341.8393125674,"[3, 3, 3, 5, 40, 10]",0.001368
1.0,0.017657,223.664753,73450.34085054683,73354.99281955039,"[3, 3, 3, 5, 40, 10]",0.001298
