Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T
0.05,1.0,111.353516,72547.95158261422,72277.95158323599,"[6, 3, 3, 20, 30, 5]",0.003722
0.06,0.996914,118.626917,72587.5052911189,72264.50529329405,"[6, 3, 4, 30, 30, 5]",0.00445
0.07,0.997361,125.550083,72633.82692248235,72255.82695295778,"[6, 3, 4, 30, 40, 5]",0.005204
0.08,0.997685,132.329098,72712.02078940075,72281.02084659332,"[7, 3, 4, 30, 40, 5]",0.005927
0.09,0.997942,139.682933,72812.89709643877,72327.89715470454,"[7, 3, 5, 30, 40, 5]",0.006661
0.1,0.998148,146.181009,72801.03912038091,72262.0392555943,"[7, 3, 5, 30, 60, 5]",0.007404
0.2,0.995635,227.774583,73730.57137433374,72655.28607580523,"[10, 3, 4, 20, 120, 60]",0.014584
0.3,0.862409,285.175855,74727.20703178532,73330.1038521253,"[3, 3, 7, 120, 120, 30]",0.018696
0.4,0.555511,308.660557,75005.35430956293,73805.4510742874,"[3, 3, 3, 120, 120, 80]",0.015998
0.5,0.35064,351.184574,74989.15251236208,74042.42520078042,"[3, 3, 3, 20, 120, 80]",0.012625
0.6,0.239301,366.50954,75115.92386174927,74340.58780924854,"[3, 3, 3, 20, 120, 80]",0.010322
0.7,0.176596,381.240702,74787.53645210934,74120.00524991521,"[3, 3, 3, 5, 120, 80]",0.008926
0.8,0.139516,390.786101,74848.77392045778,74246.06422268243,"[3, 3, 3, 5, 120, 80]",0.008052
0.9,0.114747,398.44489,74898.06371089262,74340.39381292436,"[3, 3, 3, 5, 120, 80]",0.007446
1.0,0.097135,404.524103,74938.47174483087,74413.94206525838,"[3, 3, 3, 5, 120, 80]",0.006999
