Case,$M_{T}$,Optimal Configuration,,,,,
,,$N_{PTmax}$,,,$W_{BO}$,,
,,4S,2S,SW,4S,2S,SW
1:1,270-324,6,4,3,30,30,5
,378,7,4,3,30,30,5
,432,7,5,3,30,30,5
,486,7,4,4,40,40,5
,540,7,5,3,40,40,5
,1080,3,7,3,120,40,60
,1620,3,3,3,120,120,80
,2160,3,3,4,120,120,60
,2700-3240,3,3,3,20,120,80
,3780-5400,3,3,3,5,120,80
2:1,270,7,5,3,30,20,5
,324,7,5,3,30,30,5
,378,7,6,3,40,30,5
,432,8,6,3,30,30,5
,486-540,10,7,3,20,30,5
,1080,3,10,3,120,30,5
,1620,3,7,3,120,40,60
,2160,3,3,3,120,120,80
,2700,3,3,7,120,120,80
,3240,3,3,7,40,120,80
,3780,3,3,7,20,120,80
,4320-5400,3,3,3,5,120,80
1:2,270,6,3,3,20,30,5
,324,6,3,4,30,30,5
,378,6,3,4,30,40,5
,432,7,3,4,30,40,5
,486,7,3,5,30,40,5
,540,7,3,5,30,60,5
,1080,10,3,4,20,120,60
,1620,3,3,7,120,120,30
,2160,3,3,3,120,120,80
,2700-3240,3,3,3,20,120,80
,3780-5400,3,3,3,5,120,80
