Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,retrans_wbo
0.05,90,180,1,108.731662,72464.81745,72194.81748,0.003726,"[5, 7, 3, 5, 5, 5]"
0.06,108,216,0.996914,111.238979,72490.18923,72167.18923,0.004456,"[6, 7, 3, 5, 5, 5]"
0.07,126.3333333,252.6666667,0.997361,114.339499,72524.23305,72146.23308,0.005212,"[6, 3, 3, 5, 5, 5]"
0.08,144,288,0.997685,117.870198,72561.90936,72130.90941,0.00594,"[6, 3, 4, 5, 5, 5]"
0.09,162,324,0.997942,122.116682,72609.92862,72124.92864,0.00668,"[7, 3, 4, 5, 5, 5]"
0.1,180,360,0.998148,127.068768,72673.55561,72134.55568,0.007417,"[7, 3, 5, 5, 5, 5]"
0.2,360,720,0.997222,193.1664,73410.9554,72333.95546,0.014671,"[20, 3, 8, 5, 80, 5]"
0.3,540,1080,0.997531,279.575441,74381.43872,72765.43872,0.021726,"[20, 3, 20, 20, 160, 5]"
0.4,720,1440,0.997021,402.256695,74801.58508,72648.02028,0.02879,"[10, 5, 5, 60, 160, 120]"
0.5,900,1800,0.968929,511.034121,76342.5375,73726.42821,0.034268,"[5, 5, 3, 160, 160, 240]"
0.6,1080,2160,0.844355,597.005358,77613.07243,74877.36068,0.035248,"[3, 5, 3, 240, 160, 240]"
0.7,1260,2520,0.689161,578.341664,77722.63974,75117.61124,0.033517,"[3, 3, 3, 240, 240, 240]"
0.8,1440,2880,0.553508,644.543428,77701.10427,75309.95002,0.030774,"[3, 3, 3, 30, 240, 240]"
0.9,1620,3240,0.452597,679.103935,77982.93727,75783.31481,0.028206,"[3, 3, 3, 20, 240, 240]"
1,1800,3600,0.369815,704.061313,78224.48457,76227.48625,0.025529,"[3, 3, 3, 20, 240, 240]"
