Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,retrans_wbo
0.05,135,135,1,112.75464,72622.31359,72352.3136,0.003718,"[6, 5, 3, 30, 30, 5]"
0.06,162,162,1,119.252855,72694.69002,72370.69002,0.004457,"[7, 5, 3, 30, 30, 5]"
0.07,189.5,189.5,0.997361,125.856584,72752.03428,72374.03428,0.005196,"[7, 6, 3, 30, 30, 5]"
0.08,216,216,0.99537,132.477922,72817.41101,72387.41102,0.005905,"[7, 6, 3, 30, 30, 5]"
0.09,243,243,0.995885,138.986583,72867.31458,72383.31458,0.006642,"[8, 6, 3, 40, 40, 5]"
0.1,270,270,0.996296,145.822025,72940.06381,72402.06382,0.007376,"[8, 5, 3, 40, 40, 5]"
0.2,540,540,0.998148,222.077634,73744.43025,72666.4309,0.014618,"[10, 6, 10, 60, 80, 5]"
0.3,810,810,0.991277,286.705044,74123.44307,72517.57362,0.021665,"[5, 5, 4, 160, 160, 160]"
0.4,1080,1080,0.947682,355.477538,75041.40097,72994.40746,0.027278,"[5, 5, 4, 160, 160, 160]"
0.5,1350,1350,0.845895,404.823666,75470.80263,73186.88704,0.030262,"[3, 5, 3, 240, 160, 240]"
0.6,1620,1620,0.74487,477.447302,76278.1807,73864.8024,0.031639,"[3, 5, 3, 240, 160, 240]"
0.7,1890,1890,0.632892,552.95359,77096.74764,74704.41718,0.03103,"[3, 5, 3, 240, 160, 240]"
0.8,2160,2160,0.526968,525.714682,77014.29655,74737.79476,0.029559,"[3, 3, 3, 240, 240, 240]"
0.9,2430,2430,0.475349,546.100233,76322.85288,74012.6555,0.030269,"[3, 3, 3, 40, 240, 240]"
1,2700,2700,0.430565,586.157114,76163.97699,73838.92844,0.030527,"[3, 3, 3, 5, 240, 240]"
