Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T
0.05,0.978115,118.826997,72707.06992044773,72442.97896744557,"[3, 4, 3, 40, 30, 5]",0.003632
0.06,0.95442,123.510702,72788.82933973908,72479.5974117122,"[3, 4, 3, 40, 30, 5]",0.004248
0.07,0.923817,127.630024,72856.36889141033,72506.24240802269,"[3, 4, 3, 40, 30, 5]",0.004806
0.08,0.887626,130.866586,72923.8035300796,72540.34920718959,"[3, 4, 3, 40, 30, 5]",0.005258
0.09,0.845053,133.673347,72986.18746350719,72575.49180044328,"[3, 4, 3, 40, 30, 5]",0.005627
0.1,0.799715,136.11039,73035.74570709636,72603.89938022773,"[3, 4, 3, 40, 30, 5]",0.005913
0.2,0.453768,164.549296,73286.9346368902,72796.86570075004,"[3, 4, 3, 40, 30, 5]",0.006687
0.3,0.311415,191.460913,73185.49265215936,72680.9996876157,"[3, 3, 4, 5, 40, 5]",0.006893
0.4,0.170181,193.553564,73277.05681669491,72909.46528782226,"[3, 3, 3, 5, 40, 10]",0.005016
0.5,0.099294,196.424133,73321.55381842086,73053.459219442,"[3, 3, 3, 5, 40, 10]",0.003656
0.6,0.066253,201.26508,73348.34698254333,73133.68739593236,"[3, 3, 3, 5, 40, 10]",0.002927
0.7,0.048448,206.13669,73365.3165119064,73182.18484514912,"[3, 3, 3, 5, 40, 10]",0.002496
0.8,0.037727,210.136399,73381.59216316928,73218.61162076809,"[3, 3, 3, 5, 40, 10]",0.002221
0.9,0.030646,213.222534,73390.4566615054,73241.51571212616,"[3, 3, 3, 5, 40, 10]",0.002029
1.0,0.025668,215.536348,73399.01320955767,73260.40689901105,"[3, 3, 3, 5, 40, 10]",0.001888
