Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,retrans_wbo
0.05,180,90,1,117.398339,72613.47258,72343.47258,0.003718,"[7, 6, 3, 5, 5, 5]"
0.06,216,108,0.996914,119.85198,72690.47957,72367.47958,0.004443,"[7, 6, 3, 5, 5, 5]"
0.07,252.6666667,126.3333333,0.997361,123.025683,72789.22591,72411.2261,0.005193,"[7, 6, 3, 5, 5, 5]"
0.08,288,144,0.997685,126.619834,72904.36067,72473.36068,0.005912,"[8, 6, 3, 5, 5, 5]"
0.09,324,162,0.997942,131.167572,73040.18838,72555.18838,0.00664,"[10, 7, 3, 5, 5, 5]"
0.1,360,180,0.998148,136.799628,73176.70511,72637.70511,0.007366,"[10, 7, 3, 5, 5, 5]"
0.2,720,360,0.997222,276.523798,75067.76932,73990.76932,0.014347,"[20, 10, 3, 20, 5, 5]"
0.3,1080,540,0.969632,297.232517,75017.00582,73446.20218,0.020939,"[5, 10, 3, 160, 60, 5]"
0.4,1440,720,0.838505,370.46944,75318.09575,73506.92578,0.024047,"[3, 20, 3, 240, 20, 5]"
0.5,1800,900,0.722823,370.925116,75684.68511,73733.0638,0.025786,"[3, 5, 3, 240, 160, 240]"
0.6,2160,1080,0.620615,410.341804,75917.89237,73907.10028,0.026486,"[3, 5, 3, 240, 160, 240]"
0.7,2520,1260,0.534527,458.494121,76182.26368,74161.74989,0.026522,"[3, 5, 3, 240, 160, 240]"
0.8,2880,1440,0.462496,517.316976,76542.35055,74544.36896,0.026103,"[3, 5, 3, 240, 160, 240]"
0.9,3240,1620,0.403403,584.358106,76992.26608,75031.72871,0.025464,"[3, 5, 3, 240, 160, 240]"
1,3600,1800,0.357667,601.265273,77033.57877,75102.17436,0.025072,"[3, 3, 8, 120, 160, 80]"
