Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,retrans_wbo
0.05,90,180,1,282.145737,72453.28593,72183.28605,0.003727,"[3, 5, 3, 5, 5, 5]"
0.06,108,216,0.996914,282.520455,72472.78185,72149.78187,0.004457,"[4, 6, 3, 5, 5, 5]"
0.07,126.3333333,252.6666667,0.997361,282.876501,72492.57843,72114.57846,0.005214,"[4, 6, 3, 5, 5, 5]"
0.08,144,288,0.997685,283.276513,72512.68585,72081.68592,0.005944,"[4, 6, 3, 5, 5, 5]"
0.09,162,324,0.997942,283.683017,72533.1146,72048.11474,0.006687,"[4, 7, 3, 5, 5, 5]"
0.1,180,360,0.998148,284.110564,72553.87599,72014.87627,0.007429,"[4, 8, 3, 5, 5, 5]"
0.2,360,720,0.997222,290.100878,72792.07512,71715.07568,0.014796,"[7, 3, 4, 5, 5, 5]"
0.3,540,1080,0.997531,303.388687,73248.10766,71632.1081,0.022062,"[10, 3, 10, 5, 5, 5]"
0.4,720,1440,0.997222,352.670734,74522.37875,72368.37879,0.028904,"[20, 3, 20, 5, 60, 5]"
0.5,900,1800,0.997778,417.608285,75212.25518,72518.25538,0.035819,"[20, 3, 20, 20, 160, 20]"
0.6,1080,2160,0.99753,516.334101,76048.41933,72816.42311,0.042499,"[20, 5, 20, 20, 160, 20]"
0.7,1260,2520,0.962631,620.706272,77692.81716,74054.07221,0.046835,"[6, 5, 3, 120, 160, 240]"
0.8,1440,2880,0.852894,613.571071,77916.89968,74232.39884,0.047288,"[3, 3, 3, 240, 240, 240]"
0.9,1620,3240,0.720416,648.43497,78654.95609,75153.73656,0.044514,"[3, 3, 3, 240, 240, 240]"
1,1800,3600,0.593391,670.735373,79109.33942,75905.02863,0.040505,"[3, 3, 3, 240, 240, 240]"
