Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T
0.05,1.0,112.753368,72622.42069571227,72352.42069699144,"[6, 4, 3, 30, 30, 5]",0.003718
0.06,1.0,119.249985,72695.2064424704,72371.20647388235,"[6, 4, 3, 30, 30, 5]",0.004457
0.07,0.997361,125.854971,72753.98047127872,72375.9804739988,"[7, 4, 3, 30, 30, 5]",0.005196
0.08,0.99537,132.476506,72817.67883190996,72387.67884539966,"[7, 5, 3, 30, 30, 5]",0.005905
0.09,0.995885,138.97071,72872.72613098074,72388.72618618014,"[7, 4, 4, 40, 40, 5]",0.006642
0.1,0.996296,145.821913,72940.06346576939,72402.06381593802,"[7, 5, 3, 40, 40, 5]",0.007376
0.2,0.944016,223.769513,73454.2630443664,72434.72570893985,"[3, 7, 3, 120, 40, 60]",0.01388
0.3,0.777242,248.039334,74199.13272668638,72940.00071629226,"[3, 3, 3, 120, 120, 80]",0.01697
0.4,0.564466,294.198196,74796.56326966899,73577.3159874804,"[3, 3, 4, 120, 120, 60]",0.016301
0.5,0.434163,328.688785,74605.80777442353,73433.56678642139,"[3, 3, 3, 20, 120, 80]",0.015712
0.6,0.318105,348.411963,74897.42434311673,73866.7626920308,"[3, 3, 3, 20, 120, 80]",0.013761
0.7,0.232399,360.263948,74614.59330680956,73736.12670532911,"[3, 3, 3, 5, 120, 80]",0.011773
0.8,0.17748,369.824907,74704.2017392848,73937.4879531896,"[3, 3, 3, 5, 120, 80]",0.010263
0.9,0.141643,378.542139,74769.2845228876,74080.89909002246,"[3, 3, 3, 5, 120, 80]",0.009207
1.0,0.117043,386.246367,74820.35809865202,74188.32426015628,"[3, 3, 3, 5, 120, 80]",0.008447
