Case,$M_{T}$,Optimal Configuration,,,,,
,,$N_{PTmax}$,,,$W_{BO}$,,
,,4S,2S,SW,4S,2S,SW
1:1,270-324,4,4,3,20,30,5
,378-540,3,4,3,40,30,5
,1080,3,4,3,30,30,5
,1620-5400,3,3,3,5,40,10
2:1,270-1080,3,4,3,40,30,5
,1620,3,3,4,5,40,5
,2160-5400,3,3,3,5,40,10
1:2,270-324,6,4,3,10,30,5
,378-486,4,4,3,20,30,5
,540-2160,3,4,3,40,30,5
,2700-5400,3,3,3,5,40,10
