Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,j_start,Mi_FB,MiSn_FB,MiSn_T
66,540,27,0.0005,540,27,0.0005,12,2.0166548680034256e-32,0.0,0.001
67,540,27,0.0005,540,27,0.0005,12,2.0166548449417852e-32,0.0,0.001
68,540,27,0.0005,540,27,0.0005,12,2.016654842097015e-32,0.0,0.001
69,540,27,0.0005,540,27,0.0005,12,2.0166548416061997e-32,0.0,0.001
70,540,27,0.0005,540,27,0.0005,12,2.0166548415269692e-32,0.0,0.001
71,540,27,0.0005,540,27,0.0005,12,2.0166548415166814e-32,0.0,0.001
72,540,27,0.0005,540,27,0.0005,12,2.0166548415155872e-32,0.0,0.001
73,540,27,0.0005,540,27,0.0005,12,2.0166548415154744e-32,0.0,0.001
74,540,27,0.0005,540,27,0.0005,12,2.0166548415154605e-32,0.0,0.001
75,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
76,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
77,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
78,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
79,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
80,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
81,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
82,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
83,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
84,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
85,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
86,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
87,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
88,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
89,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
90,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
91,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
92,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
93,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
94,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
95,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
96,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
97,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
98,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
99,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
100,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
101,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
102,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
103,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
104,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
105,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
106,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
107,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
108,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
109,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
110,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
111,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
112,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
113,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
114,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
115,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
116,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
117,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
118,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
119,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
120,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
121,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
122,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
123,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
124,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
125,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
126,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
127,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
128,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
129,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
130,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
131,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
132,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
133,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
134,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
135,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
136,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
137,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
138,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
139,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
140,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
141,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
142,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
143,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
144,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
145,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
146,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
147,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
148,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
149,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
150,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
151,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
152,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
153,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
154,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
155,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
156,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
157,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
158,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
159,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
160,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
161,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
162,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
163,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
164,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
165,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
166,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
167,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
168,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
169,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
170,540,27,0.0005,540,27,0.0005,12,2.0166548415154585e-32,0.0,0.001
