Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,Mi_FB,MiSn_FB,MiSn_T
98,540,27,0.0,540,27,0.0,0.0,0.0,0.0
99,540,27,0.0,540,27,0.0,0.0,0.0,0.0
100,540,27,0.0,540,27,0.0,0.0,0.0,0.0
101,540,27,0.0,540,27,0.0,0.0,0.0,0.0
102,540,27,0.0,540,27,0.0,0.0,0.0,0.0
103,540,27,0.0,540,27,0.0,0.0,0.0,0.0
104,540,27,0.0,540,27,0.0,0.0,0.0,0.0
105,540,27,0.0,540,27,0.0,0.0,0.0,0.0
106,540,27,0.0,540,27,0.0,0.0,0.0,0.0
107,540,27,0.0,540,27,0.0,0.0,0.0,0.0
108,540,27,0.0,540,27,0.0,0.0,0.0,0.0
109,540,27,0.0,540,27,0.0,0.0,0.0,0.0
110,540,27,0.0,540,27,0.0,0.0,0.0,0.0
111,540,27,0.0,540,27,0.0,0.0,0.0,0.0
112,540,27,0.0,540,27,0.0,0.0,0.0,0.0
113,540,27,0.0,540,27,0.0,0.0,0.0,0.0
114,540,27,0.0,540,27,0.0,0.0,0.0,0.0
115,540,27,0.0,540,27,0.0,0.0,0.0,0.0
116,540,27,0.0,540,27,0.0,0.0,0.0,0.0
117,540,27,0.0,540,27,0.0,0.0,0.0,0.0
118,540,27,0.0,540,27,0.0,0.0,0.0,0.0
119,540,27,0.0,540,27,0.0,0.0,0.0,0.0
120,540,27,0.0,540,27,0.0,0.0,0.0,0.0
121,540,27,0.0,540,27,0.0,0.0,0.0,0.0
122,540,27,0.0,540,27,0.0,0.0,0.0,0.0
123,540,27,0.0,540,27,0.0,0.0,0.0,0.0
124,540,27,0.0,540,27,0.0,0.0,0.0,0.0
125,540,27,0.0,540,27,0.0,0.0,0.0,0.0
126,540,27,0.0,540,27,0.0,0.0,0.0,0.0
127,540,27,0.0,540,27,0.0,0.0,0.0,0.0
128,540,27,0.0,540,27,0.0,0.0,0.0,0.0
129,540,27,0.0,540,27,0.0,0.0,0.0,0.0
130,540,27,0.0,540,27,0.0,0.0,0.0,0.0
131,540,27,0.0,540,27,0.0,0.0,0.0,0.0
132,540,27,0.0,540,27,0.0,0.0,0.0,0.0
133,540,27,0.0,540,27,0.0,0.0,0.0,0.0
134,540,27,0.0,540,27,0.0,0.0,0.0,0.0
135,540,27,0.0,540,27,0.0,0.0,0.0,0.0
136,540,27,0.0,540,27,0.0,0.0,0.0,0.0
137,540,27,0.0,540,27,0.0,0.0,0.0,0.0
138,540,27,0.0,540,27,0.0,0.0,0.0,0.0
139,540,27,0.0,540,27,0.0,0.0,0.0,0.0
140,540,27,0.0,540,27,0.0,0.0,0.0,0.0
141,540,27,0.0,540,27,0.0,0.0,0.0,0.0
142,540,27,0.0,540,27,0.0,0.0,0.0,0.0
143,540,27,0.0,540,27,0.0,0.0,0.0,0.0
144,540,27,0.0,540,27,0.0,0.0,0.0,0.0
145,540,27,0.0,540,27,0.0,0.0,0.0,0.0
146,540,27,0.0,540,27,0.0,0.0,0.0,0.0
147,540,27,0.0,540,27,0.0,0.0,0.0,0.0
148,540,27,0.0,540,27,0.0,0.0,0.0,0.0
149,540,27,0.0,540,27,0.0,0.0,0.0,0.0
150,540,27,0.0,540,27,0.0,0.0,0.0,0.0
151,540,27,0.0,540,27,0.0,0.0,0.0,0.0
152,540,27,0.0,540,27,0.0,0.0,0.0,0.0
153,540,27,0.0,540,27,0.0,0.0,0.0,0.0
154,540,27,0.0,540,27,0.0,0.0,0.0,0.0
155,540,27,0.0,540,27,0.0,0.0,0.0,0.0
156,540,27,0.0,540,27,0.0,0.0,0.0,0.0
157,540,27,0.0,540,27,0.0,0.0,0.0,0.0
158,540,27,0.0,540,27,0.0,0.0,0.0,0.0
159,540,27,0.0,540,27,0.0,0.0,0.0,0.0
160,540,27,0.0,540,27,0.0,0.0,0.0,0.0
161,540,27,0.0,540,27,0.0,0.0,0.0,0.0
162,540,27,0.0,540,27,0.0,0.0,0.0,0.0
163,540,27,0.0,540,27,0.0,0.0,0.0,0.0
164,540,27,0.0,540,27,0.0,0.0,0.0,0.0
165,540,27,0.0,540,27,0.0,0.0,0.0,0.0
166,540,27,0.0,540,27,0.0,0.0,0.0,0.0
167,540,27,0.0,540,27,0.0,0.0,0.0,0.0
168,540,27,0.0,540,27,0.0,0.0,0.0,0.0
169,540,27,0.0,540,27,0.0,0.0,0.0,0.0
170,540,27,0.0,540,27,0.0,0.0,0.0,0.0
171,540,27,0.0,540,27,0.0,0.0,0.0,0.0
172,540,27,0.0,540,27,0.0,0.0,0.0,0.0
173,540,27,0.0,540,27,0.0,0.0,0.0,0.0
174,540,27,0.0,540,27,0.0,0.0,0.0,0.0
175,540,27,0.0,540,27,0.0,0.0,0.0,0.0
176,540,27,0.0,540,27,0.0,0.0,0.0,0.0
177,540,27,0.0,540,27,0.0,0.0,0.0,0.0
178,540,27,0.0,540,27,0.0,0.0,0.0,0.0
179,540,27,0.0,540,27,0.0,0.0,0.0,0.0
180,540,27,0.0,540,27,0.0,0.0,0.0,0.0
181,540,27,0.0,540,27,0.0,0.0,0.0,0.0
182,540,27,0.0,540,27,0.0,0.0,0.0,0.0
183,540,27,0.0,540,27,0.0,0.0,0.0,0.0
184,540,27,0.0,540,27,0.0,0.0,0.0,0.0
185,540,27,0.0,540,27,0.0,0.0,0.0,0.0
186,540,27,0.0,540,27,0.0,0.0,0.0,0.0
187,540,27,0.0,540,27,0.0,0.0,0.0,0.0
188,540,27,0.0,540,27,0.0,0.0,0.0,0.0
189,540,27,0.0,540,27,0.0,0.0,0.0,0.0
190,540,27,0.0,540,27,0.0,0.0,0.0,0.0
191,540,27,0.0,540,27,0.0,0.0,0.0,0.0
192,540,27,0.0,540,27,0.0,0.0,0.0,0.0
193,540,27,0.0,540,27,0.0,0.0,0.0,0.0
194,540,27,0.0,540,27,0.0,0.0,0.0,0.0
195,540,27,0.0,540,27,0.0,0.0,0.0,0.0
196,540,27,0.0,540,27,0.0,0.0,0.0,0.0
197,540,27,0.0,540,27,0.0,0.0,0.0,0.0
198,540,27,0.0,540,27,0.0,0.0,0.0,0.0
199,540,27,0.0,540,27,0.0,0.0,0.0,0.0
200,540,27,0.0,540,27,0.0,0.0,0.0,0.0
201,540,27,0.0,540,27,0.0,0.0,0.0,0.0
202,540,27,0.0,540,27,0.0,0.0,0.0,0.0
203,540,27,0.0,540,27,0.0,0.0,0.0,0.0
204,540,27,0.0,540,27,0.0,0.0,0.0,0.0
205,540,27,0.0,540,27,0.0,0.0,0.0,0.0
206,540,27,0.0,540,27,0.0,0.0,0.0,0.0
207,540,27,0.0,540,27,0.0,0.0,0.0,0.0
208,540,27,0.0,540,27,0.0,0.0,0.0,0.0
209,540,27,0.0,540,27,0.0,0.0,0.0,0.0
210,540,27,0.0,540,27,0.0,0.0,0.0,0.0
211,540,27,0.0,540,27,0.0,0.0,0.0,0.0
212,540,27,0.0,540,27,0.0,0.0,0.0,0.0
213,540,27,0.0,540,27,0.0,0.0,0.0,0.0
214,540,27,0.0,540,27,0.0,0.0,0.0,0.0
215,540,27,0.0,540,27,0.0,0.0,0.0,0.0
216,540,27,0.0,540,27,0.0,0.0,0.0,0.0
217,540,27,0.0,540,27,0.0,0.0,0.0,0.0
218,540,27,0.0,540,27,0.0,0.0,0.0,0.0
219,540,27,0.0,540,27,0.0,0.0,0.0,0.0
220,540,27,0.0,540,27,0.0,0.0,0.0,0.0
221,540,27,0.0,540,27,0.0,0.0,0.0,0.0
222,540,27,0.0,540,27,0.0,0.0,0.0,0.0
223,540,27,0.0,540,27,0.0,0.0,0.0,0.0
224,540,27,0.0,540,27,0.0,0.0,0.0,0.0
225,540,27,0.0,540,27,0.0,0.0,0.0,0.0
226,540,27,0.0,540,27,0.0,0.0,0.0,0.0
227,540,27,0.0,540,27,0.0,0.0,0.0,0.0
228,540,27,0.0,540,27,0.0,0.0,0.0,0.0
229,540,27,0.0,540,27,0.0,0.0,0.0,0.0
230,540,27,0.0,540,27,0.0,0.0,0.0,0.0
231,540,27,0.0,540,27,0.0,0.0,0.0,0.0
232,540,27,0.0,540,27,0.0,0.0,0.0,0.0
233,540,27,0.0,540,27,0.0,0.0,0.0,0.0
234,540,27,0.0,540,27,0.0,0.0,0.0,0.0
235,540,27,0.0,540,27,0.0,0.0,0.0,0.0
236,540,27,0.0,540,27,0.0,0.0,0.0,0.0
237,540,27,0.0,540,27,0.0,0.0,0.0,0.0
238,540,27,0.0,540,27,0.0,0.0,0.0,0.0
239,540,27,0.0,540,27,0.0,0.0,0.0,0.0
