Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.920421,150.929252,759.3141526068081,510.8004864888568,0.327287,0.7,27,27
0.06,20,20,5,5,5,20,20,20,0.906005,157.941396,913.167016899158,619.6212781713224,0.321459,0.7,27,27
0.07,20,20,5,5,5,20,20,20,0.901503,163.641877,1076.438303658606,734.7687257326802,0.317407,0.7,27,27
0.08,20,20,5,5,5,20,20,20,0.928622,163.174835,1242.214468715984,841.0497328471147,0.322943,0.8,27,27
0.09,20,20,5,5,5,20,20,20,0.918479,171.187074,1410.6453712607763,964.2645169481225,0.316437,0.8,27,27
0.1,20,20,5,5,5,20,20,20,0.908335,178.931108,1581.9426003960957,1091.4418196182382,0.310062,0.8,27,27
0.2,20,20,5,5,5,20,20,20,0.774278,270.525152,3206.5264707952056,2370.306365541098,0.260787,3.2,27,27
0.3,20,20,5,5,5,20,20,20,0.337042,303.243704,3619.7024900551714,3073.6943706778384,0.150843,2.9,27,27
0.4,20,20,5,5,5,20,20,20,0.149485,319.42414,3681.671161157032,3358.784601820861,0.087701,5.0,27,27
0.5,20,20,5,5,5,20,20,20,0.080329,335.713817,3709.055192851803,3492.1679158308516,0.058475,5.0,27,27
0.6,20,20,5,5,5,20,20,20,0.05104,350.526882,3731.017863876927,3565.6471928141523,0.044323,5.0,27,27
0.7,20,20,5,5,5,20,20,20,0.036732,362.224669,3743.0614909908877,3604.2139574997373,0.037095,5.0,27,27
0.8,20,20,5,5,5,20,20,20,0.028742,370.517446,3754.8719014811722,3630.708016266073,0.033067,5.0,27,27
0.9,20,20,5,5,5,20,20,20,0.023696,376.24702,3766.5903484248756,3651.4295531817525,0.030574,5.0,27,27
1.0,20,20,5,5,5,20,20,20,0.020208,380.147304,3776.276485451273,3667.151776148533,0.028897,5.0,27,27
