Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,mu,Ru_T
0.05,180,27,20,20,5,170.6435,0.948019,140.2955387,90,27,20,20,5,89.0192,0.989102,98.18516006,0.9808,20,5,0.9808,1,241.8881525,260.6435,0.965346,99.751203,126.295611,418,253,671,246.3757,163.9808,410.3565,1.2,0.38844
0.06,216,27,20,20,5,204.419333,0.946386,147.0141101,108,27,20,20,5,107.007667,0.990812,100.6345446,0.992333,20,5,0.992333,1,240.3052537,312.419333,0.964257,101.917877,131.424828,518,305,823,312.588335,197.992335,510.58067,1.4,0.37961
0.07,253,27,20,20,5,238.214333,0.941559,154.1568541,126,27,20,20,5,124.967,0.991802,104.0905452,1.033,20,5,1.033,1,238.9091642,364.214333,0.960988,105.195844,137.218786,592,346,938,352.752666,221.032996,573.785662,1.6,0.388288
0.08,288,27,20,20,5,268.6756,0.932901,162.4241159,144,27,20,20,5,142.8558,0.992054,107.6703543,1.1442,20,5,1.1442,1,237.8230205,412.6756,0.955268,108.704526,143.679075,635,465,1100,365.1802,322.1442,687.3244,1.9,0.37516
0.09,324,27,20,20,5,286.7388,0.884996,168.2763543,162,27,20,20,5,158.5952,0.978983,113.2635881,3.4048,20,5,3.4048,1,241.7527902,448.7388,0.923331,115.964082,149.391007,781,484,1265,490.8564,325.4048,816.2612,1.6,0.354734
0.1,360,27,20,20,5,302.3375,0.839826,174.8317848,180,27,20,20,5,174.5998,0.969999,117.4464409,5.4002,20,5,5.4002,1,243.1215696,482.3375,0.893218,121.216834,154.823614,837,499,1336,529.2623,324.4002,853.6625,1.6,0.361031
0.2,720,27,20,20,5,89.038,0.123664,187.4204534,360,27,20,20,5,248.764333,0.691012,149.6285958,110.235667,20,5,110.197,0.999649,275.3855988,447.999333,0.414814,188.234549,188.072751,1063,881,1944,863.765002,632.235666,1496.000668,2.3,0.230452
0.3,1080,27,20,20,5,23.146333,0.021432,173.1742202,540,27,20,20,5,162.264333,0.30049,158.8822429,376.735667,20,5,373.708333,0.991964,303.0644467,559.118999,0.345135,259.413659,255.84353,1684,908,2592,1287.145336,745.735667,2032.881003,3.1,0.215709
0.4,1440,27,20,20,5,7.840667,0.005445,159.740704,720,27,20,20,5,100.212333,0.139184,166.1981781,617.787667,20,5,545.539333,0.883053,331.4354353,653.592333,0.302589,305.792743,304.040664,2326,925,3251,1772.619997,824.787666,2597.407663,3.2,0.201043
0.5,1800,27,20,20,5,3.122667,0.001735,150.0633913,900,27,20,20,5,66.858,0.074287,175.2551577,831.142,20,5,505.526667,0.608231,346.0647738,575.507334,0.213151,326.113175,325.15794,2608,938,3546,2099.350669,871.141999,2970.492668,3.1,0.162298
0.6,2160,27,20,20,5,1.438,0.000666,147.4181734,1080,27,20,20,5,49.569333,0.045898,184.8434932,1027.430667,20,5,396.295667,0.385715,354.7453317,447.303,0.138056,335.856384,335.250588,2685,930,3615,2287.266335,880.430667,3167.697002,2.9,0.123735
0.7,2520,27,20,20,5,0.645333,0.000256,137.4448024,1260,27,20,20,5,40.170333,0.031881,194.3579814,1216.829667,20,5,303.646333,0.249539,363.6943636,344.461999,0.091128,343.909695,343.522893,2711,948,3659,2406.708333,907.829668,3314.538001,4.1,0.094141
0.8,2880,27,20,20,5,0.304,0.000106,133.1535088,1440,27,20,20,5,34.556333,0.023997,202.1541223,1401.443667,20,5,238.109333,0.169903,372.4883518,272.969666,0.063187,350.901012,350.658512,2747,945,3692,2508.58667,910.443664,3419.030334,5,0.073935
0.9,3240,27,20,20,5,0.132667,4.10E-05,137.4594536,1620,27,20,20,5,30.982667,0.019125,208.2659206,1585.017333,20,5,192.87,0.121683,381.4599212,223.985334,0.046088,357.488744,357.35842,2727,970,3697,2533.997336,939.017333,3473.014669,5,0.060586
1,3600,27,20,20,5,0.065,1.80E-05,134.5512821,1800,27,20,20,5,28.645667,0.015914,213.1491242,1767.354333,20,5,161.246333,0.091236,389.9543347,189.957,0.035177,363.282841,363.204573,2751,950,3701,2589.688668,921.354334,3511.043002,5,0.051326
