Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.920139,136.467038,730.3219976692723,481.8845711969659,0.340175,0.8,27,27
0.06,20,20,5,5,5,20,20,20,0.907432,142.956855,875.1139252332598,581.1058054339258,0.335966,0.8,27,27
0.07,20,20,5,5,5,20,20,20,0.917881,144.484546,1033.860380063098,685.9835660704439,0.336483,0.9,27,27
0.08,20,20,5,5,5,20,20,20,0.904376,150.53271,1178.3965388300849,787.7060638974133,0.331544,0.9,27,27
0.09,20,20,5,5,5,20,20,20,0.911327,153.758198,1339.4926036529896,896.5877455700115,0.330651,1.0,27,27
0.1,20,20,5,5,5,20,20,20,0.909582,158.737046,1480.7229339116711,989.5484337446353,0.331713,1.1,27,27
0.2,20,20,5,5,5,20,20,20,0.596345,240.415665,2548.556386135835,1904.5032535832695,0.252713,3.1,27,27
0.3,20,20,5,5,5,20,20,20,0.412276,307.584265,3454.1500908177745,2786.262401904301,0.193358,2.7,27,27
0.4,20,20,5,5,5,20,20,20,0.214222,328.804849,3620.217383691833,3157.4971172388077,0.127816,2.9,27,27
0.5,20,20,5,5,5,20,20,20,0.115558,342.14495,3669.71412450375,3357.70643252852,0.085022,4.5,27,27
0.6,20,20,5,5,5,20,20,20,0.070175,353.445874,3696.5934040967168,3469.2277834647925,0.061507,5.0,27,27
0.7,20,20,5,5,5,20,20,20,0.047383,363.070946,3715.0080829692556,3535.900831377841,0.048212,5.0,27,27
0.8,20,20,5,5,5,20,20,20,0.034949,370.674035,3731.0180461304576,3580.040249259825,0.040466,5.0,27,27
0.9,20,20,5,5,5,20,20,20,0.027602,376.209329,3740.080753985268,3605.9342035155923,0.035867,5.0,27,27
1.0,20,20,5,5,5,20,20,20,0.02288,379.994679,3748.9696664234443,3625.415540453775,0.032957,5.0,27,27
