Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.951956,129.626864,737.8781860236351,480.8499524452966,0.348334,1.0,27,27
0.06,20,20,5,5,5,20,20,20,0.955755,133.33038,873.6239575628204,563.9594300804965,0.35446,1.1,27,27
0.07,20,20,5,5,5,20,20,20,0.952518,137.962035,1021.0906718847539,660.0864935609798,0.353548,1.2,27,27
0.08,20,20,5,5,5,20,20,20,0.95004,143.063744,1166.1152205614562,755.6977984641628,0.351953,1.3,27,27
0.09,20,20,5,5,5,20,20,20,0.950115,148.597515,1327.1785904900325,865.4225547911213,0.347923,1.5,27,27
0.1,20,20,5,5,5,20,20,20,0.95007,154.321537,1527.8230595105774,1014.7854785464206,0.335796,3.3,27,27
0.2,20,20,5,5,5,20,20,20,0.596345,240.415665,2548.556386135835,1904.5032535832695,0.252713,3.1,27,27
0.3,20,20,5,5,5,20,20,20,0.412276,307.584265,3454.1500908177745,2786.262401904301,0.193358,2.7,27,27
0.4,20,20,5,5,5,20,20,20,0.214222,328.804849,3620.217383691833,3157.4971172388077,0.127816,2.9,27,27
0.5,20,20,5,5,5,20,20,20,0.115558,342.14495,3669.71412450375,3357.70643252852,0.085022,4.5,27,27
0.6,20,20,5,5,5,20,20,20,0.070175,353.445874,3696.5934040967168,3469.2277834647925,0.061507,5.0,27,27
0.7,20,20,5,5,5,20,20,20,0.047383,363.070946,3715.0080829692556,3535.900831377841,0.048212,5.0,27,27
0.8,20,20,5,5,5,20,20,20,0.034949,370.674035,3731.0180461304576,3580.040249259825,0.040466,5.0,27,27
0.9,20,20,5,5,5,20,20,20,0.027602,376.209329,3740.080753985268,3605.9342035155923,0.035867,5.0,27,27
1.0,20,20,5,5,5,20,20,20,0.02288,379.994679,3748.9696664234443,3625.415540453775,0.032957,5.0,27,27
