M,Ms,Ps,Da
120,116.054971,0.967125,5321.013936576636
121,116.864537,0.965823,5346.4481269779335
122,117.667468,0.964487,5371.734996979204
123,118.463645,0.963119,5396.873746234061
124,119.25295,0.961717,5421.863654831767
125,120.035267,0.960282,5446.704043191089
126,120.810481,0.958813,5471.394322797077
127,121.57848,0.957311,5495.933910524538
128,122.339154,0.955775,5520.322279058188
129,123.092394,0.954205,5544.55900651094
130,123.838095,0.952601,5568.643645427587
131,124.576153,0.950963,5592.575862237223
132,125.306468,0.949291,5616.355306134258
133,126.028941,0.947586,5639.981747480465
134,126.743477,0.945847,5663.454946551064
135,127.449981,0.944074,5686.774835553776
136,128.148365,0.942267,5709.941208689522
137,128.83854,0.940427,5732.95408200874
138,129.520422,0.938554,5755.813427919757
139,130.193929,0.936647,5778.519311009944
140,130.858983,0.934707,5801.071800915001
141,131.515508,0.932734,5823.471062687615
142,132.163432,0.930728,5845.717269365098
143,132.802686,0.92869,5867.810647430489
144,133.433203,0.926619,5889.751521729823
145,134.054922,0.924517,5911.540139409339
146,134.667781,0.922382,5933.176979251846
147,135.271726,0.920216,5954.66235478233
148,135.866703,0.918018,5975.996766948629
149,136.452662,0.91579,5997.180727412425
150,137.029558,0.91353,6018.214714248243
151,137.597347,0.911241,6039.0993470419335
152,138.155989,0.908921,6059.835254047416
153,138.705449,0.906572,6080.423027355907
154,139.245694,0.904193,6100.863353256496
155,139.776693,0.901785,6121.157010611059
156,140.29842,0.899349,6141.304737782342
157,140.810853,0.896884,6161.307274775197
158,141.313972,0.894392,6181.165448822869
159,141.807761,0.891873,6200.880084737537
160,142.292205,0.889326,6220.452133875853
161,142.767295,0.886753,6239.882453128812
162,143.233025,0.884154,6259.171933668789
163,143.689391,0.88153,6278.321542011025
164,144.136391,0.87888,6297.332317257665
165,144.574029,0.876206,6316.205193516875
166,145.00231,0.873508,6334.9412154484935
167,145.421242,0.870786,6353.541447863175
168,145.830838,0.868041,6372.006885247052
169,146.23111,0.865273,6390.338710740591
170,146.622077,0.862483,6408.537943351647
171,147.003758,0.859671,6426.605740516348
172,147.376176,0.856838,6444.54321994398
173,147.739357,0.853985,6462.351499877907
174,148.093327,0.851111,6480.031826874844
175,148.438119,0.848218,6497.585266100625
176,148.773764,0.845305,6515.013091547371
177,149.100298,0.842375,6532.316476202387
178,149.417759,0.839426,6549.4966197217755
179,149.726188,0.836459,6566.554701009739
180,150.025626,0.833476,6583.492006165732
181,150.316118,0.830476,6600.309749519251
182,150.597711,0.82746,6617.009157650212
183,150.870454,0.824429,6633.5914657836975
184,151.134398,0.821383,6650.057914184312
185,151.389594,0.818322,6666.40983262157
186,151.636099,0.815248,6682.648372702228
187,151.873967,0.81216,6698.774900531254
188,152.103258,0.80906,6714.790596742789
189,152.324031,0.805947,6730.696761465337
190,152.536347,0.802823,6746.49467867686
191,152.74027,0.799687,6762.185568401477
192,152.935865,0.796541,6777.770671598321
193,153.123195,0.793384,6793.25137996519
194,153.30233,0.790218,6808.628833693958
195,153.473338,0.787043,6823.904316967497
196,153.636288,0.783859,6839.07912196203
197,153.791251,0.780666,6854.154501136023
198,153.9383,0.777466,6869.131663850551
199,154.077507,0.774259,6884.011907040374
200,154.208947,0.771045,6898.796433782786
201,154.332694,0.767824,6913.486528893915
202,154.448825,0.764598,6928.0833771215775
203,154.557416,0.761367,6942.588239277416
204,154.658544,0.75813,6957.002359994226
205,154.752289,0.754889,6971.326874780288
206,154.838729,0.751644,6985.5630321131
207,154.917942,0.748396,6999.71210128833
208,154.99001,0.745144,7013.775189026379
209,155.055014,0.74189,7027.753462344365
210,155.113033,0.738633,7041.648191987179
211,155.164149,0.735375,7055.46052355312
212,155.208445,0.732115,7069.191565275884
213,155.246001,0.728854,7082.84256796427
214,155.276902,0.725593,7096.414558431765
215,155.301229,0.722331,7109.908747496872
216,155.319064,0.71907,7123.326300233188
217,155.330492,0.715809,7136.668241711394
218,155.335595,0.712549,7149.93572999262
219,155.334457,0.70929,7163.129824919715
220,155.32716,0.706033,7176.251670224469
221,155.313787,0.702777,7189.302353728278
222,155.294422,0.699524,7202.282905153263
223,155.269148,0.696274,7215.194386893408
224,155.238048,0.693027,7228.03784622849
225,155.201205,0.689783,7240.814313692641
226,155.1587,0.686543,7253.524894980374
227,155.110618,0.683307,7266.170489282448
228,155.057039,0.680075,7278.752208330768
229,154.998046,0.676847,7291.271001029464
230,154.933721,0.673625,7303.727839113959
231,154.864145,0.670408,7316.123716246423
232,154.789399,0.667196,7328.459599819195
233,154.709564,0.66399,7340.7364296354945
234,154.624719,0.660789,7352.9552117284675
235,154.534946,0.657596,7365.116779867354
236,154.440323,0.654408,7377.222127112889
237,154.34093,0.651228,7389.272119523887
238,154.236844,0.648054,7401.267733853639
239,154.128145,0.644888,7413.209769500498
240,154.01491,0.641729,7425.099135010996
241,153.897215,0.638578,7436.936752056218
242,153.775138,0.635434,7448.72340966836
243,153.648755,0.632299,7460.459956313511
244,153.51814,0.629173,7472.147300077985
245,153.38337,0.626055,7483.786164955651
246,153.244518,0.622945,7495.377430531341
247,153.101657,0.619845,7506.921937359089
248,152.954862,0.616753,7518.420387806678
249,152.804204,0.613672,7529.873639660863
250,152.649756,0.610599,7541.282411370183
251,152.491588,0.607536,7552.647527658895
252,152.329772,0.604483,7563.969672377991
253,152.164377,0.60144,7575.249635414571
254,151.995472,0.598407,7586.488164158583
255,151.823127,0.595385,7597.685912774481
256,151.647409,0.592373,7608.843641570157
257,151.468385,0.589371,7619.96206739586
258,151.286122,0.58638,7631.041863021303
259,151.100686,0.5834,7642.083707100831
260,150.912142,0.580431,7653.08828425451
261,150.720555,0.577473,7664.0562343276615
262,150.525988,0.574527,7674.988253810925
263,150.328505,0.571591,7685.884943307574
264,150.128168,0.568667,7696.746960120288
265,149.925038,0.565755,7707.574967742476
266,149.719177,0.562854,7718.369532982265
267,149.510646,0.559965,7729.131228169197
268,149.299503,0.557088,7739.860735091826
269,149.085807,0.554222,7750.558638788405
270,148.869618,0.551369,7761.225426399234
271,148.650991,0.548528,7771.861799704834
272,148.429985,0.545698,7782.468206550325
273,148.206655,0.542882,7793.045258134728
274,147.981056,0.540077,7803.593520705929
275,147.753243,0.537285,7814.113515209445
276,147.523271,0.534505,7824.605716941907
277,147.291191,0.531737,7835.070767986678
278,147.057058,0.528982,7845.509053188539
279,146.820923,0.52624,7855.9211247817875
280,146.582837,0.52351,7866.307490556734
281,146.34285,0.520793,7876.6686673977765
282,146.101013,0.518089,7887.005073833822
283,145.857375,0.515397,7897.317191397023
284,145.611983,0.512718,7907.605565964886
285,145.364886,0.510052,7917.870591259826
286,145.116132,0.507399,7928.112670876889
287,144.865766,0.504759,7938.332328454359
288,144.613834,0.502131,7948.529990070181
289,144.360382,0.499517,7958.706038331764
290,144.105453,0.496915,7968.860978057616
291,143.849093,0.494327,7978.995105791806
292,143.591343,0.491751,7989.1089521739605
293,143.332248,0.489189,7999.202783723201
294,143.071847,0.486639,8009.277159045237
295,142.810184,0.484102,8019.332316129839
296,142.547299,0.481579,8029.368674810924
297,142.283231,0.479068,8039.386670567886
298,142.01802,0.476571,8049.386641897973
299,141.751706,0.474086,8059.368886147084
300,141.484326,0.471614,8069.333830459938
301,141.215918,0.469156,8079.281805463572
302,140.94652,0.46671,8089.213101638962
303,140.676167,0.464278,8099.128141908176
304,140.404896,0.461858,8109.027195455613
305,140.132741,0.459452,8118.910665483889
306,139.859739,0.457058,8128.778743119561
307,139.585923,0.454677,8138.63181268739
308,139.311327,0.45231,8148.470162841136
309,139.035984,0.449955,8158.294102898545
310,138.759926,0.447613,8168.103963680513
311,138.483186,0.445284,8177.899980256572
312,138.205795,0.442967,8187.682468645158
313,137.927785,0.440664,8197.451649325585
