Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T,W_rar,W_pbo,R_4s,R_2s,D_max
0.05,1,116.056119,48469.19607,48199.19608,"[6, 6, 3, 5, 5, 5]",0.005571,20,120,36,18,300
0.06,0.996914,117.9222,48529.87652,48206.87652,"[7, 6, 3, 5, 5, 5]",0.006656,20,120,36,18,300
0.07,0.997361,120.200212,48602.64712,48224.64712,"[7, 6, 3, 5, 5, 5]",0.007777,20,120,36,18,300
0.08,0.997685,122.681803,48681.44358,48250.44359,"[7, 6, 3, 5, 5, 5]",0.008853,20,120,36,18,300
0.09,0.997942,125.636712,48774.91684,48289.91694,"[7, 6, 3, 5, 5, 5]",0.009944,20,120,36,18,300
0.1,0.998148,129.083249,48883.95355,48344.95355,"[8, 6, 3, 5, 5, 5]",0.011026,20,120,36,18,300
0.2,0.99722,214.684129,49940.69287,48863.6958,"[8, 6, 3, 10, 30, 5]",0.021566,40,120,36,18,500
0.3,0.928696,289.331771,50989.31498,49484.82753,"[5, 6, 3, 40, 30, 5]",0.029506,40,120,36,18,500
0.4,0.875051,337.582646,51645.60395,49755.49418,"[4, 6, 3, 60, 30, 5]",0.036598,40,240,36,18,500
0.4,0.979545,357.066974,51937.40896,49821.59109,"[8, 6, 3, 10, 30, 5]",0.040738,40,360,36,18,500
0.5,0.952512,425.271715,52971.92614,50400.14374,"[8, 6, 3, 10, 30, 5]",0.04855,40,480,36,18,500
0.6,0.822293,466.275671,42987.19101,40322.961,"[3, 6, 3, 80, 30, 5]",0.061977,40,480,40,14,500
Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T,W_rar,W_pbo,R_4s,R_2s,D_max
0.6,0.874301,496.918823,19903.824624390803,17071.090888804916,"[4, 6, 3, 60, 30, 5]",0.142321,40,480,49,5,500.0
