Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T
0.05,1.0,114.817501,48342.256568278935,48072.25657219069,"[5, 4, 4, 5, 5, 5]",0.005585
0.06,0.996914,120.574324,48369.97480020946,48046.97480044121,"[6, 4, 4, 5, 5, 5]",0.006678
0.07,0.997361,128.366841,48408.24284523311,48030.243022045084,"[5, 4, 4, 5, 5, 5]",0.007809
0.08,0.997685,136.993275,48449.4156692957,48018.41570221133,"[6, 4, 4, 5, 10, 5]",0.008896
0.09,0.997942,146.428559,48517.38877402625,48032.38912202916,"[6, 4, 4, 5, 10, 5]",0.009996
0.1,0.998148,155.828291,48608.96010983047,48069.9603558827,"[7, 4, 5, 5, 10, 5]",0.011088
