M_4SRA,N_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_T
999,44,37.637,0.037675,13303.38555145203,1,10,1.0,1.0,1806.0,0.0,0.0,0.0,0.0,38.637,0.038637,13005.811062
998,44,37.601,0.037676,13297.544905720591,2,10,2.0,1.0,2134.41,0.0,0.0,0.0,0.0,39.601,0.039601,12733.76445
997,44,37.745,0.037859,13301.646575705394,3,10,3.0,1.0,2386.873333333333,0.0,0.0,0.0,0.0,40.745,0.040745,12498.006381
996,44,37.844,0.037996,13308.891871895148,4,10,4.0,1.0,2645.7150000000006,0.0,0.0,0.0,0.0,41.844,0.041844,12289.565147
995,44,37.792,0.037982,13293.265029635902,5,10,5.0,1.0,2931.672,0.0,0.0,0.0,0.0,42.792,0.042792,12082.572256
994,44,37.692,0.03792,13281.362411121723,6,10,5.998,0.999667,3136.4001333777924,0.002,0.002,1.0,13466.0,43.692,0.043692,11888.679209
993,44,37.584,0.037849,13306.54491272882,7,10,6.998,0.999714,3370.8128036581884,0.002,0.002,1.0,14106.0,44.584,0.044584,11747.047012
992,44,37.699,0.038003,13294.68935515531,8,10,7.996,0.9995,3572.6433216608298,0.004,0.004,1.0,16026.0,45.699,0.045699,11593.852251
991,44,37.63,0.037972,13288.541589157587,9,10,8.992,0.999111,3868.677935943061,0.008,0.007,0.875,16117.42857142857,46.629,0.046629,11472.426902
990,44,37.788,0.03817,13303.03609611517,10,10,9.981,0.9981,4085.527101492837,0.019,0.019,1.0,15453.36842105263,47.788,0.047788,11378.722441
980,44,37.772,0.038543,13252.847400190618,20,10,19.108,0.9554,6307.6077035796525,0.892,0.88,0.986547,15399.090909090912,57.76,0.05776,10987.941828
970,44,35.794,0.036901,13234.989216069733,30,10,23.127,0.7709,7887.031694556146,6.871,6.745,0.981662,15527.378799110451,65.666,0.065666,11586.951482
960,44,31.945,0.033276,13179.768038816715,40,10,21.604,0.5401,8942.972782817997,18.396,18.013,0.97918,15713.798811969125,71.562,0.071562,12538.55862
950,44,28.383,0.029877,13130.09188598809,50,10,18.387,0.36774,9755.834121933975,31.613,30.688,0.97074,16036.761209593325,77.458,0.077458,13480.699837
940,44,25.587,0.02722,13028.802985891272,60,10,15.537,0.25895,10584.21715903971,44.463,42.72,0.960799,16308.007490636704,83.844,0.083844,14246.613282
930,44,23.299,0.025053,12941.204944418216,70,10,13.049,0.186414,11341.39275040233,56.951,54.003,0.948236,16588.4457900487,90.351,0.090351,14890.115284
920,44,21.005,0.022832,12836.542251844798,80,10,11.449,0.143112,12004.969342300636,68.551,63.767,0.930213,16808.699515423337,96.221,0.096221,15370.000374
910,44,19.518,0.021448,12754.779588072548,90,10,10.312,0.114578,12560.22420480993,79.688,72.9,0.914818,17083.5012345679,102.73,0.10273,15807.028716
900,44,18.108,0.02012,12658.754583609456,100,10,9.484,0.09484,13105.546604808098,90.516,81.101,0.895985,17316.124659375342,108.693,0.108693,16172.823991
800,44,10.922,0.013653,11235.785753524995,200,10,6.461,0.032305,15264.684414177373,193.539,120.791,0.624117,19298.747141757252,138.174,0.138174,18472.775949
700,44,9.49,0.013557,9390.36670179136,300,10,5.659,0.018863,15805.05990457678,294.341,111.157,0.377647,20782.031918817527,126.306,0.126306,19703.131569
600,44,11.272,0.018787,7891.777146912702,400,10,5.224,0.01306,16130.161562021438,394.776,94.123,0.238421,22000.255814200562,110.619,0.110619,20285.395402
500,44,16.431,0.032862,6704.342158115755,500,10,5.177,0.010354,16339.97334363531,494.823,82.482,0.16669,22878.76884653621,104.09,0.10409,20000.362187
400,44,27.136,0.06784,6012.603773584906,600,10,4.869,0.008115,16465.31813514069,595.131,75.624,0.127071,23428.670051835397,107.62899999999999,0.107629,18722.624887
300,44,46.839,0.15613,5638.2803646533885,700,10,4.722,0.006746,16594.098263447693,695.278,72.455,0.10421,23478.50431302188,124.01599999999999,0.124016,16478.388079
200,44,76.999,0.384995,5408.885492019378,800,10,4.468,0.005585,16720.87018800358,795.532,74.275,0.093365,22845.810703466846,155.74200000000002,0.155742,14049.262318
100,44,82.765,0.82765,4620.529571678849,900,10,4.221,0.00469,16805.905235726128,895.779,81.376,0.090844,21419.456547384983,168.36200000000002,0.168362,13045.613333
90,44,78.0,0.866667,4445.905641025641,910,10,4.266,0.004688,16800.810126582277,905.734,82.376,0.090949,21345.467806157136,164.642,0.164642,13221.457174
80,44,72.149,0.901862,4236.841453103993,920,10,4.303,0.004677,16827.412967696957,915.697,82.326,0.089905,21277.00697228093,158.778,0.158778,13413.3388
70,44,65.112,0.930171,4004.7688905270925,930,10,4.269,0.00459,16854.901382056687,925.731,82.716,0.089352,21191.031191063394,152.09699999999998,0.152097,13711.96948
60,44,57.33,0.9555,3723.3312401883836,940,10,4.232,0.004502,16823.277882797734,935.768,82.882,0.088571,21176.454863540934,144.44400000000002,0.144444,14121.747002
50,44,48.553,0.97106,3422.2062076493735,950,10,4.285,0.004511,16855.20420070012,945.715,82.625,0.087368,21145.992254160363,135.463,0.135463,14657.659568
40,44,39.366,0.98415,3117.8213686937966,960,10,4.137,0.004309,16875.978245105147,955.863,82.637,0.086453,21196.425838304873,126.14,0.12614,15412.724909
30,44,29.79,0.993,2721.648204095334,970,10,4.188,0.004318,16867.571155682905,965.812,82.646,0.085572,21124.37911090676,116.624,0.116624,16270.790952
20,44,19.948,0.9974,2305.5267696009623,980,10,3.983,0.004064,16874.104443886514,976.017,81.88,0.083892,21217.785051294577,105.81099999999999,0.105811,17488.84753
10,44,9.997,0.9997,1816.105031509453,990,10,4.15,0.004192,16899.5421686747,985.85,81.191,0.082356,21264.909731374166,95.33800000000001,0.095338,19035.515618
9,44,8.999,0.999889,1739.683742638071,991,10,4.152,0.00419,16898.27360308285,986.848,81.113,0.082194,21258.648773932662,94.264,0.094264,19203.193414
8,44,8.0,1.0,1696.4000000000005,992,10,4.174,0.004208,16896.76665069478,987.826,81.267,0.082269,21245.456852104788,93.441,0.093441,19377.498593
7,44,7.0,1.0,1656.1714285714284,993,10,4.061,0.00409,16891.072642206353,988.939,80.994,0.0819,21265.728374941355,92.055,0.092055,19581.600674
6,44,6.0,1.0,1623.6533333333334,994,10,4.028,0.004052,16899.76365441907,989.972,81.159,0.081981,21325.456129326387,91.18700000000001,0.091187,19833.604154
5,44,4.999,0.9998,1537.726345269054,995,10,4.061,0.004081,16912.111795124354,990.939,81.103,0.081845,21285.666350196665,90.163,0.090163,19993.773255
4,44,4.0,1.0,1478.48,996,10,4.154,0.004171,16923.144920558498,991.846,80.853,0.081518,21307.027049089087,89.00699999999999,0.089007,20211.32857
3,44,2.999,0.999667,1443.0056685561856,997,10,4.089,0.004101,16900.52188799217,992.911,80.465,0.081039,21303.540297023555,87.553,0.087553,20417.611938
2,44,2.0,1.0,1348.24,998,10,4.134,0.004142,16898.53991291727,993.866,81.097,0.081598,21283.45120041432,87.231,0.087231,20618.576951
1,44,1.0,1.0,1306.0,999,10,4.13,0.004134,16911.864406779663,994.87,81.13,0.081548,21303.40860347591,86.25999999999999,0.08626,20861.32089
