Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.998997,117.231414,802.2286783304269,532.4995371443083,0.336225,2.718281828459045,27,27
0.06,20,20,5,5,5,20,20,20,0.995412,126.089483,962.3103497434496,639.7968997291233,0.335145,2.718281828459045,27,27
0.07,20,20,5,5,5,20,20,20,0.994986,135.910081,1102.4632681407093,725.3636755203156,0.342052,2.718281828459045,27,27
0.08,20,20,5,5,5,20,20,20,0.994508,145.673771,1211.9618370749556,782.3344304488654,0.354489,2.718281828459045,27,27
0.09,20,20,5,5,5,20,20,20,0.992832,156.173598,1324.6534141075067,842.1372600752243,0.364258,2.718281828459045,27,27
0.1,20,20,5,5,5,20,20,20,0.989224,167.002924,1471.6688732249836,937.4879824198749,0.362976,2.718281828459045,27,27
0.2,20,20,5,5,5,20,20,20,0.772948,270.153585,3204.8187548995,2370.0351968561245,0.260478,0.0,27,27
0.3,20,20,5,5,5,20,20,20,0.336724,303.12978,3619.7026167167223,3074.2104372934477,0.150701,0.0,27,27
0.4,20,20,5,5,5,20,20,20,0.148777,318.763787,3682.1393109627033,3360.7800190437433,0.087275,0.0,27,27
0.5,20,20,5,5,5,20,20,20,0.079511,334.835693,3709.357897445412,3494.6777332877655,0.057875,0.0,27,27
0.6,20,20,5,5,5,20,20,20,0.050406,349.604027,3731.1752212824485,3567.8597693618926,0.043771,0.0,27,27
0.7,20,20,5,5,5,20,20,20,0.036271,361.642959,3743.2531394498246,3606.1472398639153,0.036627,0.0,27,27
0.8,20,20,5,5,5,20,20,20,0.028243,369.894116,3755.096455647611,3633.0849089438557,0.032492,0.0,27,27
0.9,20,20,5,5,5,20,20,20,0.023221,375.652287,3766.827661254436,3653.9727559409666,0.02996,0.0,27,27
1.0,20,20,5,5,5,20,20,20,0.01977,379.657027,3776.4812569009787,3669.725243015746,0.028269,0.0,27,27
