Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.999812,122.978812,650.5667043887413,380.617407812658,0.414945,2.718281828459045,27,27
0.06,20,20,5,5,5,20,20,20,0.996701,122.994113,770.5130668008884,447.58200135382094,0.419112,2.718281828459045,27,27
0.07,20,20,5,5,5,20,20,20,0.997029,124.56973,906.6878001268085,528.8137203432773,0.416763,2.718281828459045,27,27
0.08,20,20,5,5,5,20,20,20,0.996962,127.239503,1066.155024183213,635.4672648359377,0.403964,2.718281828459045,27,27
0.09,20,20,5,5,5,20,20,20,0.996552,130.935238,1248.4259280757751,764.1018894720324,0.387948,2.718281828459045,27,27
0.1,20,20,5,5,5,20,20,20,0.995624,135.42252,1425.5014498119413,887.8643857798579,0.377156,2.718281828459045,27,27
0.2,20,20,5,5,5,20,20,20,0.774423,180.144861,2721.022238677474,1884.6454976775499,0.307376,0.0,27,27
0.3,20,20,5,5,5,20,20,20,0.461086,199.010059,3163.5591728574077,2416.599489519622,0.236114,0.0,27,27
0.4,20,20,5,5,5,20,20,20,0.351097,263.141563,3778.650530149767,3020.2818169046577,0.200698,0.0,27,27
0.5,20,20,5,5,5,20,20,20,0.273939,315.760661,4311.09053699638,3571.4543903286094,0.171566,0.0,27,27
0.6,20,20,5,5,5,20,20,20,0.202407,345.074758,4558.044574493585,3902.245772422477,0.143877,0.0,27,27
0.7,20,20,5,5,5,20,20,20,0.150145,364.64971,4688.650285906099,4121.102180160349,0.121047,0.0,27,27
0.8,20,20,5,5,5,20,20,20,0.114422,379.772451,4768.426310418321,4274.123068111216,0.103662,0.0,27,27
0.9,20,20,5,5,5,20,20,20,0.089654,392.475325,4822.166363012178,4386.450079200165,0.090357,0.0,27,27
1.0,20,20,5,5,5,20,20,20,0.072197,403.489271,4862.079096790989,4472.213160271967,0.080185,0.0,27,27
