Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.999829,297.297314,791.6551577167954,521.7012332384552,0.340999,2.718281828459045,27,27
0.06,20,20,5,5,5,20,20,20,0.999786,297.852327,927.7980496844757,603.8673920115484,0.349139,2.718281828459045,27,27
0.07,20,20,5,5,5,20,20,20,0.99712,298.18922,1068.5867173699296,690.6783612174131,0.353652,2.718281828459045,27,27
0.08,20,20,5,5,5,20,20,20,0.995105,298.427405,1203.8706288793408,773.9850962098889,0.357086,2.718281828459045,27,27
0.09,20,20,5,5,5,20,20,20,0.995579,298.82093,1337.158595150963,853.3069617524213,0.361851,2.718281828459045,27,27
0.1,20,20,5,5,5,20,20,20,0.995988,298.943855,1477.3167120534808,939.483232877026,0.364061,2.718281828459045,27,27
0.2,20,20,5,5,5,20,20,20,0.997822,298.973565,2934.2171874315345,1856.5692544180292,0.367269,2.718281828459045,27,27
0.3,20,20,5,5,5,20,20,20,0.996006,305.064029,4055.5421637808545,2442.0118005554414,0.397858,2.718281828459045,27,27
0.4,20,20,5,5,5,20,20,20,0.972001,326.798839,5517.004062074282,3417.4819513803623,0.380555,2.718281828459045,27,27
0.5,20,20,5,5,5,20,20,20,0.73116,345.391356,6696.933601713693,4722.801503254193,0.294781,0.0,27,27
0.6,20,20,5,5,5,20,20,20,0.481477,355.974464,7213.827436536027,5653.842620108856,0.216249,0.0,27,27
0.7,20,20,5,5,5,20,20,20,0.346396,380.60976,7518.380938874036,6209.00585460723,0.174157,0.0,27,27
0.8,20,20,5,5,5,20,20,20,0.266382,410.477097,7738.724468771697,6587.954114354585,0.148703,0.0,27,27
0.9,20,20,5,5,5,20,20,20,0.214364,440.45069,7914.862381115464,6873.051753658021,0.131627,0.0,27,27
1.0,20,20,5,5,5,20,20,20,0.17778,468.305919,8053.403522119375,7093.39300934904,0.119206,0.0,27,27
