Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.999878,118.668371,756.3220144603048,486.3550619139341,0.356947,2.718281828459045,27,27
0.06,20,20,5,5,5,20,20,20,0.999872,118.810486,899.4607148170498,575.5022781587311,0.36017,2.718281828459045,27,27
0.07,20,20,5,5,5,20,20,20,0.99717,120.104584,1021.6786296085045,643.7511211568428,0.369908,2.718281828459045,27,27
0.08,20,20,5,5,5,20,20,20,0.995064,122.281216,1130.4162573471372,700.5488061246157,0.380274,2.718281828459045,27,27
0.09,20,20,5,5,5,20,20,20,0.995391,124.969209,1247.1425835312743,763.3824888964923,0.387895,2.718281828459045,27,27
0.1,20,20,5,5,5,20,20,20,0.995552,128.058781,1375.8607225691997,838.2627852576411,0.390736,2.718281828459045,27,27
0.2,20,20,5,5,5,20,20,20,0.901462,185.438088,2880.818181904685,1907.2389241361725,0.337952,2.718281828459045,27,27
0.3,20,20,5,5,5,20,20,20,0.560768,269.693804,4060.000859233235,3151.5572891966117,0.223755,0.0,27,27
0.4,20,20,5,5,5,20,20,20,0.34121,320.21603,4555.609082723575,3818.5965448758607,0.161781,0.0,27,27
0.5,20,20,5,5,5,20,20,20,0.215199,347.611052,4732.37022090268,4151.332391331603,0.122779,0.0,27,27
0.6,20,20,5,5,5,20,20,20,0.145889,368.398021,4822.109644905096,4349.4302548154155,0.098023,0.0,27,27
0.7,20,20,5,5,5,20,20,20,0.10513,386.210515,4878.76761376417,4481.376515392112,0.081453,0.0,27,27
0.8,20,20,5,5,5,20,20,20,0.079612,402.024903,4917.989836177842,4574.067843183664,0.069931,0.0,27,27
0.9,20,20,5,5,5,20,20,20,0.062647,415.666272,4946.754810067852,4642.292550182872,0.061548,0.0,27,27
1.0,20,20,5,5,5,20,20,20,0.050961,427.446592,4971.063333495942,4695.874124765774,0.055358,0.0,27,27
