Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.992807,122.412738,715.5793727102321,447.52139357675867,0.374603,2.718281828459045,27,27
0.06,20,20,5,5,5,20,20,20,0.984237,130.011726,860.6230491574981,541.7303780488085,0.370537,2.718281828459045,27,27
0.07,20,20,5,5,5,20,20,20,0.976613,137.679389,1022.8838684837015,652.7474486259473,0.361856,2.718281828459045,27,27
0.08,20,20,5,5,5,20,20,20,0.960673,144.767728,1170.2602045698873,755.249454993186,0.354631,2.718281828459045,27,27
0.09,20,20,5,5,5,20,20,20,0.938434,151.479415,1323.4440036740557,867.3650196827264,0.344615,2.718281828459045,27,27
0.1,20,20,5,5,5,20,20,20,0.892088,156.210888,1471.8875766978972,990.1602280078405,0.327285,0.0,27,27
0.2,20,20,5,5,5,20,20,20,0.4125,187.456453,1943.4238321516486,1497.9241837482282,0.229234,0.0,27,27
0.3,20,20,5,5,5,20,20,20,0.343864,255.190445,2586.881807609194,2029.8216852713442,0.21534,0.0,27,27
0.4,20,20,5,5,5,20,20,20,0.301773,303.640129,3264.6562288092587,2612.827071697914,0.199662,0.0,27,27
0.5,20,20,5,5,5,20,20,20,0.212776,324.681398,3545.681673478651,2971.187130588858,0.162027,0.0,27,27
0.6,20,20,5,5,5,20,20,20,0.137737,335.0312,3620.3844771634817,3174.116925412668,0.123265,0.0,27,27
0.7,20,20,5,5,5,20,20,20,0.090662,342.861856,3657.368031619818,3314.6671101384727,0.093702,0.0,27,27
0.8,20,20,5,5,5,20,20,20,0.062753,349.989524,3682.1922625806073,3411.0997505204673,0.073623,0.0,27,27
0.9,20,20,5,5,5,20,20,20,0.045602,356.595435,3696.915546656598,3475.2889127253147,0.059949,0.0,27,27
1.0,20,20,5,5,5,20,20,20,0.034737,362.465245,3709.361962608835,3521.7804711936706,0.05057,0.0,27,27
