Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.999889,292.973717,914.9423784656829,644.9722875741539,0.295068,2.718281828459045,27,27
0.06,20,20,5,5,5,20,20,20,0.996831,293.478621,1045.607636491252,722.6345060911228,0.308886,2.718281828459045,27,27
0.07,20,20,5,5,5,20,20,20,0.997228,293.689095,1235.9918636625891,858.0424837481866,0.305786,2.718281828459045,27,27
0.08,20,20,5,5,5,20,20,20,0.997509,294.171437,1387.9920529157723,957.0680434436065,0.310466,2.718281828459045,27,27
0.09,20,20,5,5,5,20,20,20,0.997799,294.034539,1556.0134810050422,1071.0832507904097,0.311649,2.718281828459045,27,27
0.1,20,20,5,5,5,20,20,20,0.998025,293.885259,1722.7078682918213,1183.7743905255852,0.312841,2.718281828459045,27,27
0.2,20,20,5,5,5,20,20,20,0.997034,295.972354,3187.9925274136663,2111.1962476145627,0.337766,2.718281828459045,27,27
0.3,20,20,5,5,5,20,20,20,0.9973,314.582866,3835.6145588266163,2219.9885153170376,0.421217,2.718281828459045,27,27
0.4,20,20,5,5,5,20,20,20,0.955345,369.106951,5833.1768026121445,3769.6319396981135,0.35376,2.718281828459045,27,27
0.5,20,20,5,5,5,20,20,20,0.614748,374.070248,6932.5918826790485,5272.7715009555595,0.239423,0.0,27,27
0.6,20,20,5,5,5,20,20,20,0.432458,390.186179,7427.835660633871,6026.671683930052,0.188637,0.0,27,27
0.7,20,20,5,5,5,20,20,20,0.329705,411.458417,7776.362254865291,6530.076586169509,0.160266,0.0,27,27
0.8,20,20,5,5,5,20,20,20,0.262721,432.108602,8010.55466550937,6875.601836999471,0.141682,0.0,27,27
0.9,20,20,5,5,5,20,20,20,0.21469,450.715429,8177.725636409426,7134.3311280366825,0.12759,0.0,27,27
1.0,20,20,5,5,5,20,20,20,0.17865,467.689887,8302.897644150431,7338.185237440406,0.11619,0.0,27,27
