Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.999756,301.619731,666.3811603775675,396.4470985795019,0.405075,2.718281828459045,27,27
0.06,20,20,5,5,5,20,20,20,0.996562,302.047258,816.6938981396883,493.8079283569009,0.395357,2.718281828459045,27,27
0.07,20,20,5,5,5,20,20,20,0.997036,302.333629,913.000126915525,535.123313046717,0.413885,2.718281828459045,27,27
0.08,20,20,5,5,5,20,20,20,0.997314,302.764663,1022.7303315758396,591.8905505400526,0.421264,2.718281828459045,27,27
0.09,20,20,5,5,5,20,20,20,0.997572,302.627678,1160.2447169070176,675.4249576032503,0.41786,2.718281828459045,27,27
0.1,20,20,5,5,5,20,20,20,0.997776,302.477956,1301.4508227396138,762.6517601247606,0.413999,2.718281828459045,27,27
0.2,20,20,5,5,5,20,20,20,0.996817,303.017496,2498.3714794299703,1421.8094971647347,0.430905,2.718281828459045,27,27
0.3,20,20,5,5,5,20,20,20,0.992236,310.724566,4106.232426096482,2498.8108986554607,0.391459,2.718281828459045,27,27
0.4,20,20,5,5,5,20,20,20,0.808519,329.917011,5796.446551775003,4050.046073284121,0.301288,0.0,27,27
0.5,20,20,5,5,5,20,20,20,0.629371,336.208457,6231.823862494337,4532.5232508702065,0.272681,0.0,27,27
0.6,20,20,5,5,5,20,20,20,0.513053,343.082205,6528.781867540566,4866.491175549624,0.25461,0.0,27,27
0.7,20,20,5,5,5,20,20,20,0.409639,350.849134,6852.2931568096,5303.856822488823,0.225973,0.0,27,27
0.8,20,20,5,5,5,20,20,20,0.317708,363.393338,7134.67946488771,5762.179172664891,0.19237,0.0,27,27
0.9,20,20,5,5,5,20,20,20,0.251809,383.36287,7339.565701816816,6115.773475775481,0.166739,0.0,27,27
1.0,20,20,5,5,5,20,20,20,0.205445,406.619996,7510.878687810732,6401.476097654171,0.147706,0.0,27,27
